"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"43947135-1507-4810-aeee-99099e447ae5","","checklist-flat","not-started","ITR-CL-1-130 Pressure Instrument Installation","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-130 Pressure Instrument Installation"
"78c734e5-925d-5f29-914d-996158bfd86d","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-130 Pressure Instrument Installation","Pressure Instrument Installation"
"88d06968-1bfc-5785-8531-5c6eaf9a2a3d","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-130 Pressure Instrument Installation","All relevant signatures (Installed by, Approved by, Client Representative)"
"71bc2e41-ab95-4559-b200-df2cca347a8d","","checklist-flat","not-started","ITR-CL-1-123 Instrument Pre-Commissioning","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning"
"5f31f47b-c962-5d84-8267-95dc28dbad86","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Checklist items"
"e5b15235-68fd-5174-bb2b-f1cee15168a0","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Analogue Input:"
"c6413aca-92c1-58eb-8b7d-9d8b3a449593","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Analogue Input:"
"0be5aa4c-bc75-5975-8017-5142fc1626e3","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","0% Rising"
"db06b2fb-edcf-5a3f-9ae5-23abf835e89d","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","25% Rising"
"0e9b54f0-516c-5046-84e4-7cba7608e38a","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","50% Rising"
"c6a5536f-5926-5b96-a063-6fd1e038dc12","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","75% Rising"
"a52ca252-7243-5547-9cfa-129f0b9cb081","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","100% Peak"
"596bcfcb-413f-58fb-a6c9-003abbd01081","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","75% Falling"
