"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plumbing Fit-Off - Common Area"
,"Scope",,
,"Rows"
,,"Common Area - B1","grouping","plumbing fit-off","common amenities (fit-off)","b1"
,,"h20","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h20"
,,"h21","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h21"
,,"h22","expanded","h22","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h23","expanded","h23","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h24","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h24","l8"
,,"h25","expanded","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h26","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h26"
,,"h27","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h27"
,,"h28","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h28"
,"Columns"
,,"1.4 SD Sewer Wastes & Vents (Low Level)",,"1.4 sd sewer wastes & vents (low level)"
,,"4.4 CW Cold Water Rough-in (Low Level)",,"4.4 cw cold water rough-in (low level)"
,,"5.4 HW Hot Water Rough-in (Low Level)",,"5.4 hw hot water rough-in (low level)"
,,"12.0 SC Sub-Contractor Works - Internal",,"12.0 sc sub-contractor works - internal"

"Plumbing (Sub-Mains/Rough-ins) - Tower Apartments (Sub-Mains) L11 - L29"
,"Scope",,
,"Rows"
,,"L11","grouping","l11","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1101","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11","d1101"
,,"d1102","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11","d1102"
,,"d1103","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11","d1103"
,,"d1104","expanded","d1104","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11"
,,"d1105","expanded","d1105","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11"
,,"d1106","expanded","d1106","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11"
,,"d1107","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1107","l11"
,,"d1108","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1108","l11"
,,"d1109","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1109","l11"
,,"d1110","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1110","l11"
,,"d1111","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1111","l11"
,,"d1112","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11","d1112"
,,"d1113","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l11","d1113"
,,"L12","grouping","l12","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1201","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1201"
,,"d1202","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1202"
,,"d1203","expanded","d1203","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12"
,,"d1204","expanded","d1204","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12"
,,"d1205","expanded","d1205","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12"
,,"d1206","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1206","l12"
,,"d1207","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1207","l12"
,,"d1208","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1208"
,,"d1209","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1209"
,,"d1210","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1210"
,,"d1211","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1211"
,,"d1212","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1212"
,,"d1213","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l12","d1213"
,,"L13","grouping","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13"
,,"d1301","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13","d1301"
,,"d1302","expanded","d1302","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13"
,,"d1303","expanded","d1303","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13"
,,"d1304","expanded","d1304","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13"
,,"d1305","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1305","l13"
,,"d1306","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1306","l13"
,,"d1307","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1307","l13"
,,"d1308","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1308","l13"
,,"d1309","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1309","l13"
,,"d1310","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1310","l13"
,,"d1311","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1311","l13"
,,"d1312","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13","d1312"
,,"d1313","expanded","d1313","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l13"
,,"L14","grouping","tower apartments (sub-mains)","l14","plumbing (sub-mains/rough-ins)"
,,"d1401","expanded","d1401","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"d1402","expanded","d1402","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"d1403","expanded","d1403","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"d1404","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1404","l14"
,,"d1405","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1405","l14"
,,"d1406","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1406","l14"
,,"d1407","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1407","l14"
,,"d1408","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14","d1408"
,,"d1409","expanded","d1409","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"d1410","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14","d1410"
,,"d1411","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14","d1411"
,,"d1412","expanded","d1412","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"d1413","expanded","d1413","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l14"
,,"L15","grouping","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1501","expanded","l15","d1501","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1502","expanded","l15","d1502","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1503","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1503"
,,"d1504","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1504"
,,"d1505","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1505"
,,"d1506","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1506"
,,"d1507","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1507"
,,"d1508","expanded","d1508","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1509","expanded","l15","d1509","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1510","expanded","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1510"
,,"d1511","expanded","d1511","l15","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1512","expanded","l15","d1512","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1513","expanded","l15","d1513","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"L16","grouping","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1601","expanded","l16","d1601","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1602","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1602"
,,"d1603","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1603"
,,"d1604","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1604"
,,"d1605","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1605"
,,"d1606","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1606"
,,"d1607","expanded","l16","d1607","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1608","expanded","l16","d1608","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1609","expanded","l16","tower apartments (sub-mains)","d1609","plumbing (sub-mains/rough-ins)"
,,"d1610","expanded","l16","d1610","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1611","expanded","l16","d1611","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1612","expanded","l16","d1612","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1613","expanded","l16","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1613"
,,"L17","grouping","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17"
,,"d1701","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1701"
,,"d1702","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1702"
,,"d1703","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1703"
,,"d1704","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1704"
,,"d1705","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1705"
,,"d1706","expanded","d1706","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17"
,,"d1707","expanded","d1707","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17"
,,"d1708","expanded","tower apartments (sub-mains)","d1708","plumbing (sub-mains/rough-ins)","l17"
,,"d1709","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1709"
,,"d1710","expanded","d1710","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17"
,,"d1711","expanded","d1711","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17"
,,"d1712","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1712"
,,"d1713","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l17","d1713"
,,"L18","grouping","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1801","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1801"
,,"d1802","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1802"
,,"d1803","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1803"
,,"d1804","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1804"
,,"d1805","expanded","d1805","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1806","expanded","d1806","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1807","expanded","l18","tower apartments (sub-mains)","d1807","plumbing (sub-mains/rough-ins)"
,,"d1808","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1808"
,,"d1809","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1809"
,,"d1810","expanded","l18","d1810","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1811","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1811"
,,"d1812","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1812"
,,"d1813","expanded","l18","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1813"
,,"L19","grouping","l19","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d1901","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1901"
,,"d1902","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1902"
,,"d1903","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1903"
,,"d1904","expanded","d1904","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19"
,,"d1905","expanded","d1905","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19"
,,"d1906","expanded","tower apartments (sub-mains)","d1906","plumbing (sub-mains/rough-ins)","l19"
,,"d1907","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1907","l19"
,,"d1908","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1908","l19"
,,"d1909","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1909"
,,"d1910","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1910","l19"
,,"d1911","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d1911","l19"
,,"d1912","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1912"
,,"d1913","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l19","d1913"
,,"L20","grouping","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20"
,,"d2001","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2001"
,,"d2002","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2002"
,,"d2003","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2003"
,,"d2004","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2004"
,,"d2005","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2005"
,,"d2006","expanded","d2006","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20"
,,"d2007","expanded","d2007","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20"
,,"d2008","expanded","d2008","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20"
,,"d2009","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2009","l20"
,,"d2010","expanded","d2010","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20"
,,"d2011","expanded","tower apartments (sub-mains)","d2011","plumbing (sub-mains/rough-ins)","l20"
,,"d2012","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2012"
,,"d2013","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l20","d2013"
,,"L21","grouping","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)"
,,"d2101","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2101"
,,"d2102","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2102"
,,"d2103","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2103"
,,"d2104","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2104"
,,"d2105","expanded","d2105","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)"
,,"d2106","expanded","d2106","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)"
,,"d2107","expanded","d2107","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)"
,,"d2108","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2108"
,,"d2109","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2109"
,,"d2110","expanded","tower apartments (sub-mains)","l21","d2110","plumbing (sub-mains/rough-ins)"
,,"d2111","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2111"
,,"d2112","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2112"
,,"d2113","expanded","tower apartments (sub-mains)","l21","plumbing (sub-mains/rough-ins)","d2113"
,,"L22","grouping","l22","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2201","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22","d2201"
,,"d2202","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22","d2202"
,,"d2203","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22","d2203"
,,"d2204","expanded","d2204","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22"
,,"d2205","expanded","d2205","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22"
,,"d2206","expanded","d2206","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22"
,,"d2207","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2207","l22"
,,"d2208","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2208","l22"
,,"d2209","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2209","l22"
,,"d2210","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2210","l22"
,,"d2211","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2211","l22"
,,"d2212","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22","d2212"
,,"d2213","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l22","d2213"
,,"L23","grouping","l23","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2301","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2301"
,,"d2302","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2302"
,,"d2303","expanded","d2303","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23"
,,"d2304","expanded","d2304","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23"
,,"d2305","expanded","d2305","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23"
,,"d2306","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2306","l23"
,,"d2307","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2307","l23"
,,"d2308","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2308"
,,"d2309","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2309"
,,"d2310","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2310"
,,"d2311","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2311"
,,"d2312","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2312"
,,"d2313","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l23","d2313"
,,"L24","grouping","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24"
,,"d2401","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24","d2401"
,,"d2402","expanded","d2402","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24"
,,"d2403","expanded","d2403","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24"
,,"d2404","expanded","d2404","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24"
,,"d2405","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2405","l24"
,,"d2406","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2406","l24"
,,"d2407","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2407","l24"
,,"d2408","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2408","l24"
,,"d2409","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2409","l24"
,,"d2410","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2410","l24"
,,"d2411","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2411","l24"
,,"d2412","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24","d2412"
,,"d2413","expanded","d2413","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l24"
,,"L25","grouping","tower apartments (sub-mains)","l25","plumbing (sub-mains/rough-ins)"
,,"d2501","expanded","d2501","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"d2502","expanded","d2502","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"d2503","expanded","d2503","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"d2504","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2504","l25"
,,"d2505","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2505","l25"
,,"d2506","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2506","l25"
,,"d2507","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2507","l25"
,,"d2508","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25","d2508"
,,"d2509","expanded","d2509","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"d2510","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25","d2510"
,,"d2511","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25","d2511"
,,"d2512","expanded","d2512","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"d2513","expanded","d2513","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l25"
,,"L26","grouping","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2601","expanded","l26","d2601","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2602","expanded","l26","d2602","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2603","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2603"
,,"d2604","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2604"
,,"d2605","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2605"
,,"d2606","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2606"
,,"d2607","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2607"
,,"d2608","expanded","d2608","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2609","expanded","l26","d2609","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2610","expanded","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2610"
,,"d2611","expanded","d2611","l26","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2612","expanded","l26","d2612","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2613","expanded","l26","d2613","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"L27","grouping","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2701","expanded","l27","d2701","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2702","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2702"
,,"d2703","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2703"
,,"d2704","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2704"
,,"d2705","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2705"
,,"d2706","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2706"
,,"d2707","expanded","l27","d2707","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2708","expanded","l27","d2708","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2709","expanded","l27","tower apartments (sub-mains)","d2709","plumbing (sub-mains/rough-ins)"
,,"d2710","expanded","l27","d2710","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2711","expanded","l27","d2711","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2712","expanded","l27","d2712","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2713","expanded","l27","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2713"
,,"L28","grouping","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28"
,,"d2801","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2801"
,,"d2802","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2802"
,,"d2803","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2803"
,,"d2804","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2804"
,,"d2805","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2805"
,,"d2806","expanded","d2806","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28"
,,"d2807","expanded","d2807","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28"
,,"d2808","expanded","tower apartments (sub-mains)","d2808","plumbing (sub-mains/rough-ins)","l28"
,,"d2809","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2809"
,,"d2810","expanded","d2810","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28"
,,"d2811","expanded","d2811","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28"
,,"d2812","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2812"
,,"d2813","expanded","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","l28","d2813"
,,"L29","grouping","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2901","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2901"
,,"d2902","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2902"
,,"d2903","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2903"
,,"d2904","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2904"
,,"d2905","expanded","d2905","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2906","expanded","d2906","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2907","expanded","l29","tower apartments (sub-mains)","d2907","plumbing (sub-mains/rough-ins)"
,,"d2908","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2908"
,,"d2909","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2909"
,,"d2910","expanded","l29","d2910","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"d2911","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2911"
,,"d2912","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2912"
