"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc30781d-00d9-4793-8220-8d2d7de9dff7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","19) ITP-019 Cladding"
"2c8bd9b8-ddbf-41ff-9a89-e0f8a11cff51","","checklist-sectioned","work-in-progress","SYM-ITP-019 - CLADDING (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","19) ITP-019 Cladding","SYM-PURL-CLD--1 (1D - Station Entry Wall Cladding)"
"374fa600-0bcb-49fc-9c28-93add2c47dd6","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","20) ITP-020 Paving Works"
"40df8b98-367c-4cbd-9e5d-e9cde6e27e4f","","checklist-sectioned","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","20) ITP-020 Paving Works","SYM-PURL-PAV-1D-1 (BLUESTONE PAVING)"
"9c1e0775-d4c0-4bbd-a369-1f716f285557","","checklist-sectioned","pass","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","20) ITP-020 Paving Works","SYM-PURL-PAV-1D-2 (BLUESTONE KERB)"
"5ba53951-7789-453b-b68e-aa99e70d7e78","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1E"
"11fe8494-b7cf-41fd-bffb-8d0f5f2dec65","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1E","1) ITP-001 Subgrade"
"48e8f34f-b5c3-4cc8-86f7-f1662a38d485","","checklist-sectioned","work-in-progress","SYM-ITP-001 - Subgrade Preparation (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","1) ITP-001 Subgrade","SYM-PURL-SUB-1E-1 (FP1 Subgrade)"
"a2b18b39-20d1-4fe7-835f-9982ed463c4d","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1E","2) ITP-002 Flexible Pavement"
"c8d9e507-75de-40ed-9b7f-fef16434505d","","checklist-sectioned","not-started","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1E-1 (FP1 Lower Subbase - Type A Capping)"
"a6906c64-933c-4ec8-a143-a0bcfea200ea","","checklist-sectioned","not-started","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1E-2 (1E - FP1 Subbase - CTCR)"
"f827790e-91d2-473b-8243-66297d74af5b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1E","3) ITP-003 - Asphalt & Sealing"
"cb3d20a5-f531-44c9-97ab-78c06af7867c","","checklist-sectioned","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1E-1 (BASE COURSE LOT 1)"
"ef7fe4ba-42d8-4b6c-9e1a-0e541f279ec1","","checklist-sectioned","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1E-2 (INTERMEDIATE COURSE LOT 2)"
"16c61355-617d-41c6-a4dc-54315b901e3c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements"
"39c63485-4896-43dc-8b41-36a86c96d7b9","","checklist-sectioned","work-in-progress","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1E-1 (F3 #1)"
"c96cf714-1d50-4593-9a71-4c20ef2f6148","","checklist-sectioned","work-in-progress","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1E-2 (F3 #2)"
"e03c9aa8-20fd-4993-b7ee-54550f1cfc03","","checklist-sectioned","work-in-progress","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1E-2 (F3 #3)"
"bb308b5d-1f40-4e62-83ad-7053387b0ec2","","checklist-sectioned","work-in-progress","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1E-2 (F3 #4)"
"f900b297-b40c-4e22-a6af-9f5b3476613d","","checklist-sectioned","work-in-progress","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1E","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1E-2 (F3 #5)"
