Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,
9bd637c3-1af2-4f4b-87d1-b45bb1f82b63,,folder-normal,pass,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,
7ec3c914-2774-4fb1-92ed-655eca5abdf3,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 01.03.2021
6003801b-85bb-4d6c-9fb6-4ac182b158cc,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 02.03.2021
5797a346-fe83-45dd-b7e3-2eced2944e41,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 04.03.2021
4bbcf642-d675-4d02-bb56-34410e3a3ba7,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 05.03.2021
83791468-801c-4c3f-9441-34c3af95871c,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 06.03.2021
062dd939-0ee5-4dd8-84f1-07ffa0fbc8fc,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 08.03.2021
391542ad-26c3-4e9a-92f5-26fd9e4c8e30,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 09.03.21
ee712de6-d107-4fda-8a31-407c62ca069a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 10.03.2021
ad8c82ac-4a94-4565-97f0-5f59f43b5bfd,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,March,Daily Fencing Checks 11.03.2021
