"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"af8c730d-6345-4184-9d66-980e6cec1571","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 92","Wall Finishing"
"dc745f61-dc33-4fc4-8a67-721ef99f3c0d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93"
"8503f240-d325-477f-9b50-07ca2acfc415","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93","Wall Set Out"
"b0905fa9-376f-4c1a-b155-b396f8b32c1d","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93","Wall Framing"
"f5fddada-9106-4cb0-9d75-85eba5adc552","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93","Wall Sheeting"
"6e8a3d78-5352-43e5-a3d7-a702c5078250","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93","Wall Finishing"
"1c97accb-b6fe-4324-a2ad-70d03ffecc38","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 93","ITP 02 - Speedpanel"
"d5bd694f-490e-4a55-8ccd-7661e95d5074","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 2"
"9e8f1c6a-32ac-4ff0-8b64-195e80b81f26","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90"
"676f18f0-fc35-4f94-9ce6-3930afe8e22c","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90","Wall Set Out"
"88832f1a-3545-46bf-bc73-100a4318fc67","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90","Wall Framing"
"8da1514d-a542-4dd0-80d8-e2a4f73ed43b","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90","Wall Sheeting"
"e4dcc7e1-d8cf-435b-af70-54717c0de6af","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90","Wall Finishing"
"54f12062-3deb-4ce3-bdb6-30e42ca69895","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 90","ITP 02 - Speedpanel"
"c4919d3b-402b-4161-94a5-18769aebcfbf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 2","Zone 91"
"aae22ba2-f814-44ae-b715-f2a214700278","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 2","Zone 91","Wall Set Out"
