"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef6b6af2-1852-4d10-82dc-9d65f6412ba9","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 18","Lobby"
"6d82dc16-660d-478a-9c60-6d4ee33fe32e","","fail","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 18","Unit 181"
"8df89899-0d7e-4fab-8ddc-da5c548e5993","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 19"
"efb8ece4-f7f9-49ea-96cb-2fe45dd372a4","","pass","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 19","Unit 191"
"87b34ea6-c842-41fe-b98d-f84fa0a3edf7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 19","Unit 192"
"a4ff1b25-f406-4a83-bd8d-bc25833ef9e8","","pass","","folder","TRUE","FALSE","Site QA","Level 20"
"dc84984b-3958-4603-b8fe-6b14aeb9a554","","pass","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 20","Unit 201"
"3b0d2c30-33db-4771-9270-d973c2d94dca","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roof - Plantroom"
"e57da3f5-990f-47d9-abcd-2719aa226d0d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","001 - Drain down & Fill Up Sprinkler System"
"0f849c38-3aa2-44ed-b2d9-344b02a95f2e","","no-status-not-started","","folder","TRUE","FALSE","Variations"
"1912213e-0212-4ff0-872a-ceb829e61394","","no-status-not-started","","folder","TRUE","FALSE","Incident Reports"
