"","Reo","IFC Drawing","data:Steel Supplier","data:Other Steel Supplier","data:Reo Manufacture date DD/MM/YY","Cage dimensions","Fittings marked","Formwork","Formwork ready to commence","data:Panel type","data:Other Panel type","data:Panel difficulty","data:Location","data:Other Location","data:Quantity","data:Panel Weight (t)","data:Volume (m3)","data:Manufacture date DD/MM/YY","Formwork dimensions","data:Panel thickness","data:Thickness projection","data:Panel width","data:Width projection","data:Panel height","data:Height projection","Square","Silicone Bed","Edge Form/ Fillets","Position of reinforcement","Lifting devices securely/in place","Fittings locations V2","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Lifting devices securely/in place V3","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Ready to pour","data:Notes/Changes","Pre Pouring","Take a picture or attach copy of concrete doc","data:Concrete Supplier","data:Other Concrete Supplier","data:Concrete schedule docket #","data:Pouring date DD/MM/YY","data:Concrete Requisition (m3)","Correct mix being used","data:28 Mpa required","data:Other Mpa required","data:Type of concrete","data:Other Type of concrete","data:Concrete strength tested","Post Production","Post Production ready to commence - Lifting Mpa","data:Date panel stripped","data:Location (Rack #)","data:Other Location","Fitments removed (GT Caps, fillets, Ferrule caps)","Correct dimensions","Bulges, Dents and airholes within tolerances","Cracks within tolerances","Marking","Panel conform to specifications/ tolerances","data:Patching/fixing required","Concrete Test results (28 days result)","Storage","Inserts/Rebates removed","Filling points/lifters exposed","data:Location (Rack #)","data:Other Location (Rack #)","data:Status"
"A-3B27","pass","pass","Mesh & Bar","","17/01/2023","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","2.2u","1","0.91","0.36","17/01/2023","pass","200","pass","5849","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43586","17/01/2023","4.9","pass","pass","pass","40/20/200","","Yes","pass","pass","18/01/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B28","pass","pass","Mesh & Bar","","17/01/2023","pass","pass","pass","pass"," Balustrade","",""," Bundamba","2.1","1","0.92","0.37","17/01/2023","pass","200","pass","5962","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43586","17/01/2023","4.9","pass","pass","pass","40/20/200","","Yes","pass","pass","18/01/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B29","pass","pass","Mesh & Bar","","17/01/2023","pass","pass","pass","pass","Wall","","1.1.1"," Bundamba","2.3u","1","1.76","0.7","17/01/2023","pass","200","pass","4543","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43586","17/01/2023","4.9","pass","pass","pass","40/20/200","","Yes","pass","pass","18/01/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B30","pass","pass","","","09/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1","","5.6","1","2.24","0.9","09/01/23","pass","200","pass","5601","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," PSA Foot Anchor 2.5t",""," None","","pass","","pass","pass"," Hy-Tec","","43379","10/01/23","6.6","pass","pass","pass","40/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-3B31","pass","pass","","","09/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1","","5.7","1","2.25","0.9","09/01/23","pass","200","pass","5613","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 2.5"," None","","pass","","pass","pass"," Hy-Tec","","43379","10/01/23","6.6","pass","pass","pass","40/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Gate","Delivered"
"A-3B32","pass","pass","","","09/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1","","5.8","1","0.79",".32","09/01/23","pass","200","pass","5082","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech","Actech 2.5"," None","","pass","","pass","pass"," Hy-Tec","","43379","10/01/23","6.6","pass","pass","pass","40/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-3B33","pass","pass","","","09/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1","","5.9","1","0.08","0.32","09/01/23","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech","Actech "," None","","pass","","pass","pass"," Hy-Tec","","43379","10/01/23","6.6","pass","pass","pass","40/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","0","Delivered"
"A-3B34","pass","pass","","","20/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","3.1","1","0.8","0.32","20/01/23","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43732","20/01/23","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","21/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B35","pass","pass","Mesh & Bar","","18/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.6","1","0.8","0.32","18/01/23","pass","200","pass","5159","pass","311","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43646","20/01/23","6.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-3B36","pass","pass","Mesh & Bar","","18/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.7","1","0.8","0.32","18/01/23","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43646","20/01/23","6.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-3B37","pass","pass","","","18/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","6.6","1","3.01","1.20","18/01/23","pass","200","pass","6084","pass","990","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43667","19/01/23","5.3","pass","pass","pass","40/20/200","","Yes","pass","pass","20/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-3B38","pass","pass","Mesh & Bar","","18/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.8","1","0.78","0.31","18/01/23","pass","200","pass","5050","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43646","20/01/23","6.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-3B39","pass","pass","","","21/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1","","1.2u","1","0.73","0.29","21/01/23","pass","200","pass","4689","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Achtec 2.5"," None","","pass","","pass","pass"," Hy-Tec","","43782","23/01/23","6.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","24/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B40","pass","pass","","","01/02/23","pass","pass","pass","pass"," Balustrade","curve","3.2.2","","5.1","1","0.83","0.35","01/02/23","pass","200","pass","4930","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," PSA Foot Anchor 2.5t",""," None","","pass","","pass","pass"," Hy-Tec","","44116","01/02/23","4.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","02/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-3B41","pass","pass","Mesh & Bar","","18/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","5.9","1","0.95","0.38","18/01/23","pass","200","pass","4240","pass","450","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43646","20/01/23","6.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-3B42","pass","pass","","","18/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","6.3","1","0.96","0.38","18/01/23","pass","200","pass","4276","pass","450","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43667","19/01/23","5.3","pass","pass","pass","40/20/200","","Yes","pass","pass","20/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-3B43","pass","pass","","","7/02/23","pass","pass","pass","pass"," Balustrade","curve","","","5.1","1","2.44","1.02","7/02/23","pass","200","pass","4647","pass","990","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","44376","08/02/23","4.2","pass","pass","pass"," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-3B44","pass","pass","Mesh & Bar","","17/01/2023","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","4.6","1","3.40","1.36","17/01/2023","pass","200","pass","7043","pass","990","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43586","17/01/2023","4.9","pass","pass","pass","40/20/200","","Yes","pass","pass","18/01/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B45","pass","pass","Mesh & Bar","","17/01/2023","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","2.2","1","1.27","0.51","17/01/2023","pass","200","pass","5186","pass","500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43586","17/01/2023","4.9","pass","pass","pass","40/20/200","","Yes","pass","pass","18/01/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","5g","Delivered"
"A-3B46","pass","pass","","","10/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","1.2","1","0.13","0.05","10/01/23","pass","200","pass","813","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43400","10/01/23","6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Gate","Delivered"
"A-3B47","pass","pass","","","10/01/23","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","1.3","1","0.18","0.07","10/01/23","pass","200","pass","1167","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," 2.5t Actech",""," None","","pass","","pass","pass"," Hy-Tec","","43400","10/01/23","6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","11/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Gate","Delivered"
"A-L3C62","pass","pass","","","8/02/23","pass","pass","pass","pass"," Column","","2.1.1","pass","1.4","1","2.52","1.05","8/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44430","09/02/23","5.8","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
"A-L3C63","pass","pass","","","8/02/23","pass","pass","pass","pass"," Column","","2.1.1","pass","1.4u","1","2.52","1.05","8/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44430","09/02/23","5.8","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
"A-L3C64","pass","pass","","","8/02/23","pass","pass","pass","pass"," Column","","2.1.1","pass","1.3","1","2.52","1.05","8/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44430","09/02/23","5.8","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
"A-L3C65","pass","pass","","","8/02/23","pass","pass","pass","pass"," Column","","","pass","1.3u","1","2.52","1.05","8/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44430","09/02/23","5.8","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
"A-L3C66","pass","pass","","","7/02/23","pass","pass","pass","pass"," Column","","","pass","6.8u","1","2.52","1.05","7/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44382","08/02/23","5.9","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C67","pass","pass","","","7/02/23","pass","pass","pass","pass"," Column","","","pass","6.8","1","2.52","1.05","7/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44382","08/02/23","5.9","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ",""
"A-L3C68","pass","pass","","","7/02/23","pass","pass","pass","pass"," Column","","","pass","6.7","1","2.52","1.05","7/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44382","08/02/23","5.9","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C69","pass","pass","","","7/02/23","pass","pass","pass","pass"," Column","","","pass","6.7u","1","2.52","1.05","7/02/23","pass","450","pass","450","pass","580","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44382","08/02/23","5.9","pass","50",""," 50/20/200","","Yes","pass","pass","09/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C70","pass","pass","","","10/02/23","pass","pass","pass","pass"," Column","","","pass","1.2u","1","2.52","1.05","10/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44530","10/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","11/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","7","7 Ground ","Delivered"
"A-L3C71","pass","pass","","","10/02/23","pass","pass","pass","pass"," Column","","2.2.1","pass","1.2","1","2.52","1.05","10/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44530","10/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","10/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","7","7 Ground ","Delivered"
"A-L3C72","pass","pass","","","01/02/23","pass","pass","pass","pass"," Column","","","pass","4.5u","1","2.34","0.97","01/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44123","02/02/23","6.10","pass","50",""," 50/20/200","","Yes","pass","pass","03/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-L3C73","pass","pass","","","01/02/23","pass","pass","pass","pass"," Column","","","pass","4.5","1","2.34","0.97","01/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44123","02/02/23","6.10","pass","50",""," 50/20/200","","Yes","pass","pass","03/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-L3C74","pass","pass","","","01/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","4.4","1","2.34","0.97","01/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44123","02/02/23","6.1","pass","50",""," 50/20/200","","Yes","pass","pass","03/02/23","pass","pass","pass","pass","pass","pass","pass","pass","Bar exposed, patching required","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-L3C75","pass","pass","","","01/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","4.4u","1","2.43","0.97","01/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44123","02/02/23","6.1","pass","50",""," 50/20/200","","Yes","pass","pass","03/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-L3C76","pass","pass","","","11/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","6.4","1","2.34","0.97","11/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44598","13/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","13/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6g","Delivered"
"A-L3C77","pass","pass","","","11/02/23","pass","pass","pass","pass"," Column","","","pass","6.4u","1","2.34","0.97","11/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44598","13/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","13/02/23","pass","pass","pass","pass","pass","pass","pass","pass","no tag found","pass","pass","pass","pass"," Other","6g","Delivered"
"A-L3C78","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","","pass","6.3u","1","2.34","0.97","13/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","Top right hand side grout tube on the bottom moved 10m ","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C79","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","","pass","6.2u","1","2.34","0.97","13/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C80","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","1.6","1","2.34","0.97","13/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6g","Delivered"
"A-L3C81","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","6.1","1","2.30","0.96","13/02/23","pass","300","pass","600","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie","Delivered"
"A-L3C82","pass","pass","","","10/02/23","pass","pass","pass","pass"," Column","","2.2.1","pass","1.1","1","2.52","1.05","10/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44530","10/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","11/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","7","7 Ground ",""
"A-L3C83","pass","pass","","","10/02/23","pass","pass","pass","pass"," Column","","2.2.1","pass","1.1","1","2.52","1.05","10/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44530","10/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","11/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","7","7 Ground ","Delivered"
"A-L3C84","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","6.1u","1","2.34","0.97","13/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","
","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C85","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","","pass","1.2","1","2.52","1.05","13/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Face lifter 7t PSA LiftMX","2 edge lifters removed, 4face lifters added ","pass","","pass","pass"," Hy-Tec","","44598","13/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","14/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie","Delivered"
"A-L3C86","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","6.2","1","2.34","0.97","13/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C87","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","","pass","1.2u","1","2.52","1.05","13/02/23","pass","450","pass","450","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","2 edge lifters removed, 4 face lifters added"," Face lifter 7t PSA LiftMX","","pass","","pass","pass"," Hy-Tec","","44598","13/02/23","6.2","pass","50",""," 50/20/200","","Yes","pass","pass","14/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Bessie ","Delivered"
"A-L3C88","pass","pass","","","11/02/23","pass","pass","pass","pass"," Column","","","pass","4.1","1","2.34","0.97","11/02/23","pass","300","pass","600","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44573","11/02/23","6.3","pass","50",""," 50/20/200","","Yes","pass","pass","13/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
"A-L3C89","pass","pass","","","13/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","6.3","1","1.99","0.83","13/02/23","pass","400","pass","400","pass","5480","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44661","14/02/23","6.6","pass","50",""," 50/20/200","","Yes","pass","pass","15/02/2023","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie ","Delivered"
"A-L3C90","pass","pass","","","11/02/23","pass","pass","pass","pass"," Column","","1.1.1","pass","4.1u","1","2.34","0.97","11/02/23","pass","300","pass","300","pass","5590","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass"," Hy-Tec","","44573","11/02/23","6.3","pass","50",""," 50/20/200","","Yes","pass","pass","13/02/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","8g","Delivered"
