"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6953923f-2383-49f5-ac67-2c72aadc8a36","","no-status-not-started","SNSW Maintenance - Additional Notes","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Additional Notes"
"bfc4c6ab-00b1-4b7e-9063-8754c877f7d7","","not-started","","folder","TRUE","FALSE","Batemans Bay Service Centre"
"9da89805-b232-4264-b146-816234f9f586","","no-status-not-started","SNSW Maintenance - Building details","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Building details"
"83bb715c-3679-47b6-9a32-4160eb14de2b","","not-started","SNSW Maintenance - Site Information","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Site Information"
"18743cd8-5c19-4cb3-94ae-16be968fa180","","not-started","SNSW Maintenance - Site information - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Site information - Final check"
"7e32fae1-2b52-404c-9738-ac42f6668027","","not-started","SNSW Maintenance - Emergency Lighting","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Emergency Lighting"
"95ac1d42-131d-4fd0-8490-48a843c1772d","","not-started","SNSW Maintenance - Emergency Lighting - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Emergency Lighting - Final check"
"50dcefbb-6959-4fa8-9f05-a2d4fcd7416f","","not-started","SNSW Maintenance - Lighting Audit","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Lighting Audit"
"47d79dd0-a2fa-4dbd-aafe-94f749d9c468","","not-started","SNSW Maintenance - Lighting Audit - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Lighting Audit - Final check"
"2dc84d4b-28a2-4c6d-8d5b-3ee3e4fdbcbb","","not-started","SNSW Maintenance - Distribution Board","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Distribution Board"
"08fbbd45-ead0-4a01-9fed-261eb4019cf7","","not-started","SNSW Maintenance - Distribution Board - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Distribution Board - Final check"
"5d7dd0c2-2c17-4b68-a5c7-2e7b16efb743","","not-started","SNSW Maintenance - Thermal Imagery","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Thermal Imagery"
"d0a0a841-ded2-415f-879a-d4afbf142ffd","","not-started","SNSW Maintenance - Thermal Imagery - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Thermal Imagery - Final check"
"35aab344-dc8e-41a4-af06-700d468bd654","","not-started","SNSW Maintenance - RCD Testing","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - RCD Testing"
"8de99da6-b69c-4ef1-871f-25b8a5b845be","","not-started","SNSW Maintenance - Comms Rack","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Comms Rack"
