"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a10060bb-5015-4c33-9c13-72f19256aba4","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A35"
"c81743b6-5a3c-4633-8b3b-c6e5c7b5348a","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A36"
"fbc43229-0d1b-4529-9183-321604eca82a","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A37"
"29bc11c2-95f6-4464-a1e4-bcebb5c4c48f","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A38"
"50e7f3a5-0c69-452f-9663-8d66a0af9524","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A39"
"fb9d1d1e-e982-4cf0-ba0d-a2c0bcc7e221","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A40"
"b3c0c2dc-cef1-4358-8a13-1d8b8345cb1c","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B7"
"64937fd4-7ad6-4287-a44d-ffe9245f6cfe","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B8"
"1ab7bf03-7c83-447e-a27a-1d63e97fb0f2","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B9"
"b9e70933-7636-45b8-911e-0b83209930c1","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B10"
"0ee6bcb4-a19d-4603-a748-fc53e20c447e","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B11"
"c9a68f03-b363-4e87-a787-a2900c26ecb0","","not-started","Installers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Installers Checklist","Base-B12"
