resource,,,,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-5,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-6,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-7,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-8,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-9,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-10,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-11,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-12,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L27-13,,,,,
,,,,step,,,,,Level 28,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-1,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-2,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-3,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-4,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-5,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-6,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-7,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-8,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-9,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-10,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-11,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-12,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L28-13,,,,,
,,,,step,,,,,Level 29,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-1,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-2,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-3,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-4,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-5,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-6,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-7,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-8,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-9,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-10,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-11,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-12,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L29-13,,,,,
,,,,step,,,,,Level 30,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-1,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-2,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-3,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-4,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-5,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-6,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-7,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-8,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-9,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-10,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-11,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-12,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,E-L30-13,,,,,
,,,,step,,,,C,,,,,,,
,,,,step,,,,,Level GF,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-1,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-2,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-3,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-4,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-5,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Compliant Cladding Checklist,folder-with-checklists,,,,,,C-LGF-6,,,,,
