"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"34480c86-0211-447d-9e24-0e78dc9f21b3","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Mar 23","28/03/23"
"845e997d-050d-4c7e-8242-71f3fc41bd56","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Mar 23","29/03/23"
"fb314a13-da66-4e9c-a53e-275ce54fc78c","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Mar 23","30/03/23"
"16d275a1-4fae-4a76-85de-607122a2c066","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Mar 23","31/03/23"
"91b8e6bf-9a6a-4004-a1d5-0cf4dd3ec16f","","folder-normal","pass","","step","TRUE","FALSE","Pre Start","Apr 23"
"9319dbcf-c09c-4b2e-95bf-309900b49d7e","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","3/04/23"
"c0f69d82-34fc-49fc-9eda-ede7f6d6677b","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","4/04/23"
"af4b0cb1-fa2e-41cf-a2da-45b548697947","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","5/04/23"
"84dfa3d3-9108-45c0-a752-7eaaad150bc4","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","6/04/23"
"eb7b48e1-8cec-4259-ba7d-352a5a90834b","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","17/04/23"
"449dffcd-1ec3-4679-b538-41fa45810076","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","18/04/23"
"76e5ccec-1d28-44c7-b8b7-34449f26a4af","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Apr 23","19/04/23"
"72ef445f-58b2-4aed-98e4-3372d4ed2004","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre Start","May 23"
"06065731-00df-45ce-9896-9148e5c2ff5b","","checklist-flat","pass","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start 24/5"
"aeac3f81-5d13-4626-a3a8-497cd42b2ff5","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start 25/5"
"d6cc6da4-98d7-4f73-9a9c-73a0534ecfcd","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start 26/5"
"623dbb6b-1156-4765-bff0-388353c5d760","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start 29/5"
"8acb7622-1c7c-41c9-88cf-a1914a549889","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start30/5"
"6e659cd1-d075-452f-969c-5453dc09a952","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","May 23","Daily Pre Start 31/5"
"390efd35-b1b9-44be-b269-d7f0a95e2d42","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre Start","Jun 23"
"e8ea6fa1-760a-4e49-920f-72823fb897c0","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start1/6"
"6312a28d-1418-4d07-840e-669fe838601a","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start2/6"
"a30ed534-4ad8-4625-bbf5-b7731482579f","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start 5/6"
"9d93167b-2883-464d-beca-fdaa7c5c5e9a","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start6/6"
"69f4529f-c9b3-49ef-96b9-9c5c71270360","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start7/6"
"55f3d2e4-814b-41dc-aa87-38d759335fdd","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start8/6"
"47e57ccd-378a-416c-83fa-bdac6821c80a","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start 9/6"
