"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b5e09509-8673-4a09-9665-1d5001b60ff2","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.15"
"7fe7ed41-df61-44f3-864c-d4ef12845592","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.16"
"e0604e5a-aeec-4229-b957-d328c234eae8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.17"
"0cbf1808-e743-4ffd-bec0-b145971f86a5","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.18"
"1f89536e-aba8-4c2a-b4c1-459bc1726201","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.19"
"622cc256-eaed-409b-b2fc-48ce5414b1d7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.20"
"50346ede-cbde-4ef8-bed1-58d1d093ea68","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.21"
"45c4e89a-e786-4581-b23f-6bcba0ba62a2","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.22"
"211fdfcb-f87d-41ce-a5a3-599c4db8c1a3","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.23"
"79272cb0-f541-42bc-8a20-5610551dffc9","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.24"
"57252269-7b39-4774-8594-6e99b5eb66b8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.25"
"13a45415-d4dd-44e6-8c5a-4bd89f62b27b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.26"
"c0f404f6-2134-43fc-98c4-9616b9ad8990","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.27"
"5016e636-36d1-4c9a-baf6-60de48770c37","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.28"
"7fe3f224-0de5-4b7a-a76a-380afaa3a605","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.29"
"f66e112a-0fa3-4fd8-992c-fef02683b914","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.30"
"95fa80a0-ef59-456b-9e7b-acf955e78cc3","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.31"
"986d9079-ab59-45a4-8d20-b5259e7c4b32","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel","Level 6"
"4e81ffa1-c962-43b0-94dd-7716b29cc54e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.01"
"2ffaf4bf-10b4-4bcd-98d7-4bf061a2e452","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.02"
"dfe83940-3b9f-4d77-9fd1-9eb510328360","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.03"
"7433ad79-3048-412e-92ad-2a197c7512e7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.04"
"a056404f-ae5a-4626-8e9e-d05e4ddf4133","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.05"
"c26a666b-ec84-43ed-b4ea-a9a59e270ead","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.06"
"97c5ea56-4b60-41a0-8945-7f3ded03d83f","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.07"
"ba1d8a51-be91-41ad-a732-93c1e1ba26fe","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.08"
"4f5c1d49-f4d3-48be-8811-b3f090deaf0e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.09"
"8217124f-f6d5-45e4-80c0-b6ab8108408a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.10"
"227ac4b7-c0cf-4764-876e-b07e4d056c18","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.11"
"50856bbc-82aa-4bfe-a920-fc441644975a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.12"
"751c4514-5122-4fc1-b475-08cc038d3156","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.13"
"9783cf96-cce5-4e99-9041-cbd2c2c032a7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.14"
"3ed76ba6-126b-4fc4-811e-cf900279a611","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.15"
"d7aeedc0-5ee4-46a9-8fea-2900cd1b7676","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.16"
"1e11b484-c1e9-4640-a934-5471de3fe32e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.17"
"8fba03a3-5f41-4879-a433-91e097b9f8d9","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.18"
"55173b7e-b085-4963-8d21-b3c4800c13fd","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.19"
"a48b975e-0ba1-42e2-91dd-f24578be5844","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.20"
"fa76a743-b725-45c6-8179-a8c0a4413434","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.21"
"933e4c5d-aeee-4e4c-b850-9bd18f57be97","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.22"
"8e938b9d-4264-4989-a598-e305e79cf31a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.23"
"3e29773c-2ec1-4b38-a883-a0c9abb47839","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.24"
"fb69f322-db7c-4ec7-8be7-cc833417e05d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.25"
"e6e74465-7c8e-4a57-9aa7-1a0503033c77","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.26"
"dbc104ed-05ac-4001-9372-b993ade9d6c6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.27"
"3904dba6-3779-4d93-8d6e-c4cc5d7fa29b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.28"
"726adf30-8c4d-4f0b-b8c2-1eed854420cf","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.29"
"43ddef55-c02f-4490-ab6f-996b7e818be5","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.30"
"479a2a53-d406-41dc-8d80-a6abdd81c16d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 6","6.31"
"355718f1-268b-4fcf-958e-04e537a553c1","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel","Level 7"
"b4bbb84c-a244-405a-9471-d2297af62c30","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.01"
"9717d93f-cb70-40a6-b1fa-22c2606e87f6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.02"
"73e89187-3f3d-489a-b79b-1c6b76178da6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.03"
"1c4f18fb-7111-45e1-a3b0-c911ec1ceba6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.04"
"d5e798f8-2b41-4c7c-a8aa-d84d459eded5","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.05"
"065de2fd-194f-4c40-a23e-5678d54d38a4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.06"
"e23b67c4-f878-4a84-b6c9-02b9be68cab5","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.07"
"3a7c51d5-b3e0-4fdf-903c-1aebc6663f52","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.08"
"fe48852b-3cf3-4059-a33e-8cb7e9583e41","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.09"
"e12b36bb-8295-42d3-86da-99ac52f43739","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.10"
"c5e57142-93fe-4394-8e1b-822da2809f7e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.11"
"13195aee-3ccb-44df-aa98-6e6e646fb0b0","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.12"
"0f040e92-2678-4083-af15-8309d7bca5bd","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.13"
"23e0f190-4720-4909-9d71-f9c5f88aaade","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.14"
"9f65fa83-60b9-4cf0-82f6-dd55632a1388","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 7","7.15"
