ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"201-533","expanded","fitout","level 5 - zone a","201-533","room","building b201 east"
,,"Level 5 - Zone A SOP","grouping","fitout","level 5 - zone a","sop","building b201 east"
,,"201-548","expanded","201-548","fitout","level 5 - zone a","sop","building b201 east"
,,"Level 5 - Zone A DB","grouping","fitout","level 5 - zone a","db","building b201 east"
,,"201-553","expanded","fitout","level 5 - zone a","db","201-553","building b201 east"
,,"Level 5 - Zone A Service Access","grouping","fitout","service access","level 5 - zone a","building b201 east"
,,"201-505","expanded","fitout","service access","level 5 - zone a","201-505","building b201 east"
,,"Level 5 - Zone A GN","grouping","fitout","level 5 - zone a","gn","building b201 east"
,,"201-556","expanded","fitout","level 5 - zone a","201-556","gn","building b201 east"
,,"Level 5 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 5 - zone a","building b201 east"
,,"201-500l3","expanded","201-500l3","fitout","lift lobby","level 5 - zone a","building b201 east"
,,"201-500l2","expanded","fitout","lift lobby","201-500l2","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A PGR","grouping","fitout","pgr","level 5 - zone a","building b201 east"
,,"201-552","expanded","fitout","pgr","level 5 - zone a","building b201 east","201-552"
,,"201-531","expanded","fitout","pgr","level 5 - zone a","201-531","building b201 east"
,,"201-532","expanded","fitout","pgr","level 5 - zone a","201-532","building b201 east"
,,"201-510","expanded","fitout","pgr","level 5 - zone a","201-510","building b201 east"
,,"Level 5 - Zone A Breakout","grouping","fitout","breakout","level 5 - zone a","building b201 east"
,,"201-534","expanded","fitout","breakout","level 5 - zone a","201-534","building b201 east"
,,"Level 5 - Zone A Comms","grouping","comms","fitout","level 5 - zone a","building b201 east"
,,"201-524","expanded","comms","fitout","201-524","level 5 - zone a","building b201 east"
,,"Level 6 - Zone A SOP","grouping","level 6 - zone a","fitout","sop","building b201 east"
,,"201-617","expanded","level 6 - zone a","fitout","sop","201-617","building b201 east"
,,"Level 6 - Zone A Office","grouping","level 6 - zone a","fitout","office","building b201 east"
,,"201-617b","expanded","level 6 - zone a","fitout","office","201-617b","building b201 east"
,,"201-617a","expanded","level 6 - zone a","fitout","201-617a","office","building b201 east"
,,"201-615","expanded","level 6 - zone a","fitout","office","201-615","building b201 east"
,,"201-613","expanded","level 6 - zone a","fitout","201-613","office","building b201 east"
,,"201-611","expanded","level 6 - zone a","fitout","office","201-611","building b201 east"
,,"201-617c","expanded","level 6 - zone a","fitout","office","201-617c","building b201 east"
,,"201-600c1","expanded","level 6 - zone a","fitout","office","201-600c1","building b201 east"
,,"201-606","expanded","level 6 - zone a","fitout","office","201-606","building b201 east"
,,"201-605","expanded","level 6 - zone a","fitout","office","201-605","building b201 east"
,,"201-604","expanded","level 6 - zone a","fitout","office","201-604","building b201 east"
,,"201-612","expanded","level 6 - zone a","fitout","201-612","office","building b201 east"
,,"201-622","expanded","level 6 - zone a","fitout","office","201-622","building b201 east"
,,"201-614","expanded","level 6 - zone a","201-614","fitout","office","building b201 east"
,,"201-620","expanded","level 6 - zone a","fitout","office","201-620","building b201 east"
,,"201-616","expanded","level 6 - zone a","fitout","office","201-616","building b201 east"
,,"201-618","expanded","level 6 - zone a","fitout","office","201-618","building b201 east"
,,"201-619","expanded","level 6 - zone a","fitout","201-619","office","building b201 east"
,,"201-621","expanded","level 6 - zone a","fitout","office","201-621","building b201 east"
,,"201-623","expanded","level 6 - zone a","fitout","201-623","office","building b201 east"
,,"Level 6 - Zone A Toilet - Male","grouping","level 6 - zone a","fitout","toilet - male","building b201 east"
,,"201-657","expanded","level 6 - zone a","fitout","201-657","toilet - male","building b201 east"
,,"Level 6 - Zone A Toilet - Female","grouping","level 6 - zone a","toilet - female","fitout","building b201 east"
,,"201-603","expanded","level 6 - zone a","toilet - female","201-603","fitout","building b201 east"
,,"201-658","expanded","level 6 - zone a","toilet - female","201-658","fitout","building b201 east"
,,"Level 6 - Zone A Toilet - ACC","grouping","level 6 - zone a","fitout","toilet - acc","building b201 east"
,,"201-602","expanded","level 6 - zone a","fitout","201-602","toilet - acc","building b201 east"
,,"201-655","expanded","level 6 - zone a","fitout","201-655","toilet - acc","building b201 east"
,,"Level 6 - Zone A Lift","grouping","level 6 - zone a","fitout","lift","building b201 east"
,,"201-600e1","expanded","level 6 - zone a","fitout","lift","201-600e1","building b201 east"
,,"201-600e5","expanded","level 6 - zone a","fitout","lift","201-600e5","building b201 east"
,,"Level 6 - Zone A DB","grouping","level 6 - zone a","fitout","db","building b201 east"
,,"Level 6 - Zone A SHWR","grouping","level 6 - zone a","fitout","shwr","building b201 east"
,,"201-601","expanded","level 6 - zone a","fitout","201-601","shwr","building b201 east"
,,"Level 6 - Zone A Lift Lobby","grouping","level 6 - zone a","fitout","lift lobby","building b201 east"
,,"201-600l1","expanded","level 6 - zone a","201-600l1","fitout","lift lobby","building b201 east"
,,"201-600l3","expanded","level 6 - zone a","fitout","lift lobby","201-600l3","building b201 east"
,,"Level 6 - Zone A Riser","grouping","level 6 - zone a","fitout","riser","building b201 east"
,,"201-608","expanded","level 6 - zone a","fitout","201-608","riser","building b201 east"
,,"201-654","expanded","level 6 - zone a","fitout","201-654","riser","building b201 east"
,,"Level 6 - Zone A PGR","grouping","level 6 - zone a","fitout","pgr","building b201 east"
,,"201-631","expanded","level 6 - zone a","fitout","pgr","201-631","building b201 east"
,,"201-652","expanded","level 6 - zone a","fitout","pgr","201-652","building b201 east"
,,"Level 6 - Zone A Breakout","grouping","level 6 - zone a","fitout","breakout","building b201 east"
,,"Level 6 - Zone A Room","grouping","level 6 - zone a","fitout","room","building b201 east"
,,"Level 6 - Zone A Circulation","grouping","level 6 - zone a","fitout","circulation","building b201 east"
,,"201-600c3","expanded","level 6 - zone a","fitout","201-600c3","circulation","building b201 east"
,,"201-600c4","expanded","level 6 - zone a","fitout","201-600c4","circulation","building b201 east"
,,"201-600c2","expanded","level 6 - zone a","fitout","201-600c2","circulation","building b201 east"
,,"201-600c5","expanded","level 6 - zone a","fitout","circulation","building b201 east","201-600c5"
,,"201-600c6","expanded","level 6 - zone a","fitout","201-600c6","circulation","building b201 east"
,,"201-600c7","expanded","level 6 - zone a","fitout","201-600c7","circulation","building b201 east"
,,"Level 6 - Zone A Service Access","grouping","level 6 - zone a","fitout","service access","building b201 east"
,,"201-659","expanded","level 6 - zone a","fitout","service access","201-659","building b201 east"
,,"Level 6 - Zone A GN","grouping","level 6 - zone a","fitout","gn","building b201 east"
,,"201-656","expanded","level 6 - zone a","fitout","201-656","gn","building b201 east"
,,"Level 7 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 7 - zone a","building b201 east"
,,"201-700l2","expanded","fitout","lift lobby","level 7 - zone a","201-700l2","building b201 east"
,,"201-700l3","expanded","fitout","lift lobby","level 7 - zone a","201-700l3","building b201 east"
,,"201-700l1","expanded","fitout","lift lobby","level 7 - zone a","201-700l1","building b201 east"
,,"Level 7 - Zone A Comms","grouping","comms","fitout","level 7 - zone a","building b201 east"
,,"201-724","expanded","comms","201-724","fitout","level 7 - zone a","building b201 east"
,,"Level 7 - Zone A Lift","grouping","fitout","lift","level 7 - zone a","building b201 east"
,,"201-700e4","expanded","fitout","lift","level 7 - zone a","201-700e4","building b201 east"
,,"201-700e3","expanded","fitout","lift","level 7 - zone a","201-700e3","building b201 east"
,,"201-700e2","expanded","fitout","lift","level 7 - zone a","201-700e2","building b201 east"
,,"201-700e1","expanded","fitout","lift","level 7 - zone a","201-700e1","building b201 east"
,,"201-600e5","expanded","fitout","lift","level 7 - zone a","201-600e5","building b201 east"
,,"Level 7 - Zone A Circulation","grouping","fitout","level 7 - zone a","circulation","building b201 east"
,,"201-700c2","expanded","fitout","level 7 - zone a","201-700c2","circulation","building b201 east"
,,"201-700c1","expanded","fitout","level 7 - zone a","201-700c1","circulation","building b201 east"
,,"201-700c4","expanded","fitout","201-700c4","level 7 - zone a","circulation","building b201 east"
,,"201-700c5","expanded","201-700c5","fitout","level 7 - zone a","circulation","building b201 east"
,,"201-700c6","expanded","fitout","level 7 - zone a","circulation","building b201 east","201-700c6"
,,"201-700c7","expanded","fitout","level 7 - zone a","201-700c7","circulation","building b201 east"
,,"Level 7 - Zone A SOP","grouping","fitout","level 7 - zone a","sop","building b201 east"
,,"201-717","expanded","fitout","level 7 - zone a","201-717","sop","building b201 east"
,,"Level 7 - Zone A Office","grouping","fitout","level 7 - zone a","office","building b201 east"
,,"201-717a","expanded","fitout","201-717a","level 7 - zone a","office","building b201 east"
,,"201-715","expanded","fitout","level 7 - zone a","office","201-715","building b201 east"
,,"201-713","expanded","201-713","fitout","level 7 - zone a","office","building b201 east"
,,"201-717b","expanded","201-717b","fitout","level 7 - zone a","office","building b201 east"
,,"201-717c","expanded","fitout","level 7 - zone a","office","201-717c","building b201 east"
,,"201-711","expanded","fitout","level 7 - zone a","201-711","office","building b201 east"
,,"201-716","expanded","fitout","level 7 - zone a","office","201-716","building b201 east"
,,"201-718","expanded","fitout","level 7 - zone a","201-718","office","building b201 east"
,,"201-714","expanded","fitout","level 7 - zone a","office","201-714","building b201 east"
,,"201-720","expanded","fitout","level 7 - zone a","office","201-720","building b201 east"
,,"201-722","expanded","fitout","level 7 - zone a","201-722","office","building b201 east"
,,"201-712","expanded","fitout","201-712","level 7 - zone a","office","building b201 east"
,,"201-700c3","expanded","fitout","201-700c3","level 7 - zone a","office","building b201 east"
,,"201-735","expanded","201-735","fitout","level 7 - zone a","office","building b201 east"
,,"201-737","expanded","fitout","level 7 - zone a","office","201-737","building b201 east"
,,"201-739","expanded","fitout","level 7 - zone a","office","201-739","building b201 east"
,,"201-736","expanded","fitout","level 7 - zone a","office","201-736","building b201 east"
,,"201-738","expanded","fitout","level 7 - zone a","office","201-738","building b201 east"
,,"201-741","expanded","fitout","level 7 - zone a","office","201-741","building b201 east"
,,"201-743","expanded","fitout","level 7 - zone a","office","201-743","building b201 east"
,,"201-745","expanded","fitout","201-745","level 7 - zone a","office","building b201 east"
,,"201-740","expanded","fitout","level 7 - zone a","office","201-740","building b201 east"
,,"201-742","expanded","fitout","level 7 - zone a","office","201-742","building b201 east"
,,"201-744","expanded","fitout","level 7 - zone a","201-744","office","building b201 east"
,,"201-746","expanded","201-746","fitout","level 7 - zone a","office","building b201 east"
,,"201-751","expanded","fitout","level 7 - zone a","office","201-751","building b201 east"
,,"201-749","expanded","fitout","level 7 - zone a","office","201-749","building b201 east"
,,"201-748b","expanded","fitout","level 7 - zone a","office","201-748b","building b201 east"
,,"201-747","expanded","fitout","level 7 - zone a","office","201-747","building b201 east"
,,"201-748a","expanded","fitout","level 7 - zone a","office","201-748a","building b201 east"
,,"Level 7 - Zone A Room","grouping","fitout","level 7 - zone a","room","building b201 east"
,,"201-726","expanded","fitout","level 7 - zone a","201-726","room","building b201 east"
,,"201-730","expanded","fitout","level 7 - zone a","201-730","room","building b201 east"
,,"201-733","expanded","fitout","level 7 - zone a","201-733","room","building b201 east"
,,"Level 7 - Zone A Breakout","grouping","fitout","level 7 - zone a","breakout","building b201 east"
,,"201-748","expanded","fitout","level 7 - zone a","breakout","201-748","building b201 east"
,,"201-734","expanded","fitout","201-734","level 7 - zone a","breakout","building b201 east"
,,"Level 7 - Zone A Toilet - Male","grouping","fitout","level 7 - zone a","toilet - male","building b201 east"
,,"201-706","expanded","fitout","level 7 - zone a","201-706","toilet - male","building b201 east"
,,"Level 7 - Zone A Toilet - ACC","grouping","fitout","level 7 - zone a","toilet - acc","building b201 east"
,,"201-702","expanded","201-702","fitout","level 7 - zone a","toilet - acc","building b201 east"
,,"201-755","expanded","fitout","level 7 - zone a","201-755","toilet - acc","building b201 east"
,,"Level 7 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 7 - zone a","building b201 east"
,,"201-703","expanded","toilet - female","fitout","level 7 - zone a","201-703","building b201 east"
,,"201-758","expanded","toilet - female","fitout","level 7 - zone a","201-758","building b201 east"
,,"Level 7 - Zone A Service Access","grouping","fitout","level 7 - zone a","service access","building b201 east"
,,"201-705","expanded","fitout","level 7 - zone a","service access","201-705","building b201 east"
,,"201-759","expanded","fitout","level 7 - zone a","service access","201-759","building b201 east"
,,"Level 7 - Zone A CLNR","grouping","fitout","level 7 - zone a","clnr","building b201 east"
,,"201-704","expanded","fitout","level 7 - zone a","clnr","201-704","building b201 east"
,,"Level 7 - Zone A Riser","grouping","fitout","level 7 - zone a","riser","building b201 east"
,,"201-708","expanded","fitout","201-708","level 7 - zone a","riser","building b201 east"
,,"201-754","expanded","fitout","level 7 - zone a","201-754","riser","building b201 east"
,,"Level 7 - Zone A PGR","grouping","fitout","level 7 - zone a","pgr","building b201 east"
,,"201-710","expanded","fitout","level 7 - zone a","pgr","201-710","building b201 east"
,,"201-732","expanded","fitout","level 7 - zone a","pgr","201-732","building b201 east"
,,"201-731","expanded","fitout","level 7 - zone a","pgr","201-731","building b201 east"
,,"201-752","expanded","fitout","level 7 - zone a","pgr","201-752","building b201 east"
,,"Level 7 - Zone A SHWR","grouping","fitout","level 7 - zone a","shwr","building b201 east"
,,"201-701","expanded","fitout","201-701","level 7 - zone a","shwr","building b201 east"
,,"Level 7 - Zone A DB","grouping","fitout","level 7 - zone a","db","building b201 east"
,,"201-753","expanded","fitout","level 7 - zone a","201-753","db","building b201 east"
,,"Level 7 - Zone A GN","grouping","fitout","level 7 - zone a","gn","building b201 east"
,,"201-756","expanded","fitout","201-756","level 7 - zone a","gn","building b201 east"
,,"Level 7 - Zone A Stair","grouping","fitout","level 7 - zone a","stair","building b201 east"
,,"201-700s5","expanded","201-700s5","fitout","level 7 - zone a","stair","building b201 east"
,,"201-700s3","expanded","fitout","201-700s3","level 7 - zone a","stair","building b201 east"
,,"Level 8 - Zone A Comms","grouping","comms","fitout","level 8 - zone a","building b201 east"
,,"201-824","expanded","comms","fitout","level 8 - zone a","201-824","building b201 east"
,,"Level 8 - Zone A Lift","grouping","fitout","lift","level 8 - zone a","building b201 east"
,,"201-800e4","expanded","201-800e4","fitout","lift","level 8 - zone a","building b201 east"
,,"201-800e3","expanded","fitout","201-800e3","lift","level 8 - zone a","building b201 east"
,,"201-800e2","expanded","fitout","lift","level 8 - zone a","201-800e2","building b201 east"
,,"201-800e1","expanded","fitout","lift","level 8 - zone a","201-800e1","building b201 east"
,,"201-800e5","expanded","fitout","lift","201-800e5","level 8 - zone a","building b201 east"
,,"Level 8 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 8 - zone a","building b201 east"
,,"201-800l2","expanded","fitout","lift lobby","201-800l2","level 8 - zone a","building b201 east"
,,"201-800l1","expanded","fitout","lift lobby","level 8 - zone a","201-800l1","building b201 east"
,,"201-800l3","expanded","201-800l3","fitout","lift lobby","level 8 - zone a","building b201 east"
,,"Level 8 - Zone A Circulation","grouping","fitout","level 8 - zone a","circulation","building b201 east"
,,"201-800c2","expanded","201-800c2","fitout","level 8 - zone a","circulation","building b201 east"
,,"201-800c1","expanded","fitout","201-800c1","level 8 - zone a","circulation","building b201 east"
,,"201-800c3","expanded","fitout","201-800c3","level 8 - zone a","circulation","building b201 east"
,,"201-800c4","expanded","fitout","201-800c4","level 8 - zone a","circulation","building b201 east"
,,"201-800c5","expanded","fitout","level 8 - zone a","201-800c5","circulation","building b201 east"
,,"201-800c6","expanded","fitout","level 8 - zone a","201-800c6","circulation","building b201 east"
,,"201-800c7","expanded","fitout","level 8 - zone a","circulation","building b201 east","201-800c7"
,,"Level 8 - Zone A Stair","grouping","fitout","stair","level 8 - zone a","building b201 east"
,,"201-800s3","expanded","fitout","stair","201-800s3","level 8 - zone a","building b201 east"
,,"201-800s5","expanded","fitout","stair","level 8 - zone a","201-800s5","building b201 east"
,,"Level 8 - Zone A SHWR","grouping","fitout","level 8 - zone a","shwr","building b201 east"
,,"201-801","expanded","201-801","fitout","level 8 - zone a","shwr","building b201 east"
,,"Level 8 - Zone A Service Access","grouping","fitout","service access","level 8 - zone a","building b201 east"
,,"201-805","expanded","fitout","service access","201-805","level 8 - zone a","building b201 east"
,,"201-859","expanded","fitout","service access","level 8 - zone a","201-859","building b201 east"
,,"Level 8 - Zone A CLNR","grouping","fitout","clnr","level 8 - zone a","building b201 east"
,,"201-804","expanded","fitout","clnr","level 8 - zone a","201-804","building b201 east"
,,"Level 8 - Zone A SOP","grouping","fitout","level 8 - zone a","sop","building b201 east"
,,"201-817","expanded","fitout","201-817","level 8 - zone a","sop","building b201 east"
,,"201-848","expanded","fitout","level 8 - zone a","sop","201-848","building b201 east"
,,"Level 8 - Zone A Office","grouping","fitout","office","level 8 - zone a","building b201 east"
,,"201-817c","expanded","201-817c","fitout","office","level 8 - zone a","building b201 east"
,,"201-811","expanded","fitout","201-811","office","level 8 - zone a","building b201 east"
,,"201-817b","expanded","fitout","201-817b","office","level 8 - zone a","building b201 east"
,,"201-813","expanded","fitout","office","level 8 - zone a","201-813","building b201 east"
,,"201-817a","expanded","fitout","201-817a","office","level 8 - zone a","building b201 east"
,,"201-815","expanded","fitout","office","level 8 - zone a","201-815","building b201 east"
,,"201-816","expanded","fitout","office","201-816","level 8 - zone a","building b201 east"
,,"201-818","expanded","fitout","201-818","office","level 8 - zone a","building b201 east"
,,"201-820","expanded","fitout","office","201-820","level 8 - zone a","building b201 east"
,,"201-814","expanded","fitout","office","level 8 - zone a","201-814","building b201 east"
,,"201-812","expanded","201-812","fitout","office","level 8 - zone a","building b201 east"
,,"201-822","expanded","fitout","201-822","office","level 8 - zone a","building b201 east"
,,"201-819","expanded","fitout","201-819","office","level 8 - zone a","building b201 east"
,,"201-821","expanded","fitout","201-821","office","level 8 - zone a","building b201 east"
,,"201-823","expanded","201-823","fitout","office","level 8 - zone a","building b201 east"
,,"201-835","expanded","fitout","office","level 8 - zone a","201-835","building b201 east"
,,"201-837","expanded","fitout","office","level 8 - zone a","201-837","building b201 east"
,,"201-839","expanded","fitout","201-839","office","level 8 - zone a","building b201 east"
,,"201-836","expanded","fitout","office","level 8 - zone a","201-836","building b201 east"
,,"201-838","expanded","fitout","office","201-838","level 8 - zone a","building b201 east"
,,"201-840","expanded","fitout","office","level 8 - zone a","201-840","building b201 east"
,,"201-845","expanded","201-845","fitout","office","level 8 - zone a","building b201 east"
,,"201-843","expanded","fitout","201-843","office","level 8 - zone a","building b201 east"
,,"201-841","expanded","fitout","office","level 8 - zone a","201-841","building b201 east"
,,"201-842","expanded","fitout","office","201-842","level 8 - zone a","building b201 east"
,,"201-844","expanded","fitout","201-844","office","level 8 - zone a","building b201 east"
,,"201-846","expanded","fitout","office","level 8 - zone a","201-846","building b201 east"
,,"201-847","expanded","fitout","office","level 8 - zone a","201-847","building b201 east"
,,"201-849","expanded","fitout","office","201-849","level 8 - zone a","building b201 east"
,,"201-848b","expanded","fitout","office","level 8 - zone a","201-848b","building b201 east"
,,"201-848a","expanded","201-848a","fitout","office","level 8 - zone a","building b201 east"
,,"201-848c","expanded","fitout","office","level 8 - zone a","201-848c","building b201 east"
,,"201-851","expanded","fitout","office","level 8 - zone a","201-851","building b201 east"
,,"Level 8 - Zone A Room","grouping","fitout","level 8 - zone a","room","building b201 east"
,,"201-830","expanded","fitout","level 8 - zone a","201-830","room","building b201 east"
,,"201-826","expanded","fitout","level 8 - zone a","201-826","room","building b201 east"
,,"201-833","expanded","fitout","201-833","level 8 - zone a","room","building b201 east"
,,"Level 8 - Zone A DB","grouping","fitout","level 8 - zone a","db","building b201 east"
,,"201-807","expanded","fitout","201-807","level 8 - zone a","db","building b201 east"
,,"Level 8 - Zone A Riser","grouping","fitout","level 8 - zone a","riser","building b201 east"
,,"201-808","expanded","fitout","201-808","level 8 - zone a","riser","building b201 east"
,,"201-854","expanded","fitout","201-854","level 8 - zone a","riser","building b201 east"
,,"Level 8 - Zone A Breakout","grouping","fitout","breakout","level 8 - zone a","building b201 east"
,,"201-834","expanded","201-834","fitout","breakout","level 8 - zone a","building b201 east"
,,"Level 8 - Zone A PGR","grouping","fitout","pgr","level 8 - zone a","building b201 east"
,,"201-831","expanded","fitout","pgr","201-831","level 8 - zone a","building b201 east"
,,"201-852","expanded","fitout","pgr","level 8 - zone a","201-852","building b201 east"
,,"201-810","expanded","fitout","pgr","201-810","level 8 - zone a","building b201 east"
,,"201-832","expanded","fitout","pgr","201-832","level 8 - zone a","building b201 east"
,,"Level 8 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 8 - zone a","building b201 east"
,,"201-858","expanded","toilet - female","fitout","level 8 - zone a","201-858","building b201 east"
,,"201-803","expanded","toilet - female","fitout","level 8 - zone a","201-803","building b201 east"
,,"Level 8 - Zone A Toilet - ACC","grouping","fitout","level 8 - zone a","toilet - acc","building b201 east"
,,"201-855","expanded","fitout","201-855","level 8 - zone a","toilet - acc","building b201 east"
,,"201-802","expanded","fitout","level 8 - zone a","toilet - acc","201-802","building b201 east"
,,"Level 8 - Zone A Toilet - Male","grouping","fitout","level 8 - zone a","toilet - male","building b201 east"
,,"201-857","expanded","fitout","level 8 - zone a","toilet - male","201-857","building b201 east"
,,"201-806","expanded","fitout","201-806","level 8 - zone a","toilet - male","building b201 east"
,,"Level 8 - Zone A GN","grouping","fitout","level 8 - zone a","gn","building b201 east"
,,"201-856","expanded","201-856","fitout","level 8 - zone a","gn","building b201 east"
,,"Level 9 - Zone A Comms","grouping","comms","fitout","level 9 - zone a","building b201 east"
,,"201-924","expanded","comms","fitout","level 9 - zone a","201-924","building b201 east"
,,"Level 9 - Zone A Lift","grouping","fitout","level 9 - zone a","lift","building b201 east"
,,"201-900e4","expanded","fitout","level 9 - zone a","lift","201-900e4","building b201 east"
,,"201-900e3","expanded","fitout","level 9 - zone a","lift","201-900e3","building b201 east"
,,"201-900e2","expanded","fitout","level 9 - zone a","lift","201-900e2","building b201 east"
,,"201-900e1","expanded","201-900e1","fitout","level 9 - zone a","lift","building b201 east"
,,"201-900e5","expanded","fitout","level 9 - zone a","lift","201-900e5","building b201 east"
,,"Level 9 - Zone A Lift Lobby","grouping","fitout","level 9 - zone a","lift lobby","building b201 east"
,,"201-900l2","expanded","fitout","level 9 - zone a","lift lobby","201-900l2","building b201 east"
,,"201-900l1","expanded","fitout","level 9 - zone a","lift lobby","building b201 east","201-900l1"
,,"201-900l3","expanded","fitout","level 9 - zone a","lift lobby","201-900l3","building b201 east"
,,"Level 9 - Zone A Circulation","grouping","fitout","level 9 - zone a","circulation","building b201 east"
,,"201-900c2","expanded","fitout","level 9 - zone a","201-900c2","circulation","building b201 east"
,,"201-900c1","expanded","fitout","level 9 - zone a","201-900c1","circulation","building b201 east"
,,"201-900c4","expanded","fitout","level 9 - zone a","201-900c4","circulation","building b201 east"
,,"201-900c5","expanded","fitout","level 9 - zone a","201-900c5","circulation","building b201 east"
,,"201-900c6","expanded","fitout","level 9 - zone a","201-900c6","circulation","building b201 east"
,,"201-900c7","expanded","201-900c7","fitout","level 9 - zone a","circulation","building b201 east"
,,"Level 9 - Zone A SOP","grouping","fitout","level 9 - zone a","sop","building b201 east"
,,"201-917","expanded","fitout","level 9 - zone a","sop","201-917","building b201 east"
,,"201-948","expanded","fitout","level 9 - zone a","201-948","sop","building b201 east"
,,"Level 9 - Zone A Office","grouping","fitout","level 9 - zone a","office","building b201 east"
,,"201-917a","expanded","fitout","level 9 - zone a","office","201-917a","building b201 east"
,,"201-917b","expanded","fitout","level 9 - zone a","office","201-917b","building b201 east"
,,"201-917c","expanded","fitout","level 9 - zone a","office","201-917c","building b201 east"
,,"201-911","expanded","fitout","level 9 - zone a","office","201-911","building b201 east"
,,"201-913","expanded","fitout","level 9 - zone a","201-913","office","building b201 east"
,,"201-915","expanded","fitout","level 9 - zone a","office","201-915","building b201 east"
,,"201-916","expanded","fitout","level 9 - zone a","office","201-916","building b201 east"
,,"201-914","expanded","fitout","level 9 - zone a","201-914","office","building b201 east"
,,"201-920","expanded","fitout","level 9 - zone a","office","201-920","building b201 east"
,,"201-918","expanded","fitout","level 9 - zone a","office","201-918","building b201 east"
,,"201-922","expanded","fitout","level 9 - zone a","office","201-922","building b201 east"
,,"201-912","expanded","201-912","fitout","level 9 - zone a","office","building b201 east"
,,"201-900c3","expanded","fitout","level 9 - zone a","office","201-900c3","building b201 east"
,,"201-919","expanded","fitout","level 9 - zone a","office","building b201 east","201-919"
,,"201-921","expanded","fitout","level 9 - zone a","office","201-921","building b201 east"
,,"201-923","expanded","201-923","fitout","level 9 - zone a","office","building b201 east"
,,"201-935","expanded","fitout","level 9 - zone a","201-935","office","building b201 east"
,,"201-937","expanded","fitout","level 9 - zone a","office","201-937","building b201 east"
,,"201-939","expanded","fitout","level 9 - zone a","office","201-939","building b201 east"
,,"201-936","expanded","fitout","level 9 - zone a","201-936","office","building b201 east"
,,"201-938","expanded","fitout","level 9 - zone a","office","201-938","building b201 east"
,,"201-940","expanded","fitout","level 9 - zone a","201-940","office","building b201 east"
,,"201-945","expanded","201-945","fitout","level 9 - zone a","office","building b201 east"
,,"201-943","expanded","fitout","level 9 - zone a","office","201-943","building b201 east"
,,"201-941","expanded","fitout","level 9 - zone a","office","201-941","building b201 east"
,,"201-942","expanded","fitout","level 9 - zone a","office","201-942","building b201 east"
,,"201-944","expanded","fitout","level 9 - zone a","office","201-944","building b201 east"
,,"201-946","expanded","fitout","level 9 - zone a","201-946","office","building b201 east"
,,"201-947","expanded","fitout","level 9 - zone a","201-947","office","building b201 east"
,,"201-949","expanded","fitout","level 9 - zone a","office","201-949","building b201 east"
,,"201-951","expanded","fitout","level 9 - zone a","201-951","office","building b201 east"
,,"201-948c","expanded","201-948c","fitout","level 9 - zone a","office","building b201 east"
,,"201-948b","expanded","fitout","level 9 - zone a","office","201-948b","building b201 east"
,,"201-948a","expanded","fitout","level 9 - zone a","office","201-948a","building b201 east"
,,"Level 9 - Zone A Stair","grouping","fitout","level 9 - zone a","stair","building b201 east"
,,"201-900s7","expanded","201-900s7","fitout","level 9 - zone a","stair","building b201 east"
,,"201-900s3","expanded","fitout","level 9 - zone a","stair","201-900s3","building b201 east"
,,"201-900s5","expanded","fitout","level 9 - zone a","201-900s5","stair","building b201 east"
,,"201-900s8","expanded","fitout","level 9 - zone a","stair","building b201 east","201-900s8"
,,"Level 9 - Zone A GN","grouping","fitout","level 9 - zone a","gn","building b201 east"
,,"201-956","expanded","201-956","fitout","level 9 - zone a","gn","building b201 east"
,,"Level 9 - Zone A Service Access","grouping","fitout","level 9 - zone a","service access","building b201 east"
,,"201-905","expanded","fitout","level 9 - zone a","service access","201-905","building b201 east"
,,"201-959","expanded","fitout","level 9 - zone a","service access","201-959","building b201 east"
,,"Level 9 - Zone A SHWR","grouping","fitout","level 9 - zone a","shwr","building b201 east"
,,"201-901","expanded","201-901","fitout","level 9 - zone a","shwr","building b201 east"
,,"Level 9 - Zone A Toilet - Male","grouping","fitout","level 9 - zone a","toilet - male","building b201 east"
,,"201-906","expanded","fitout","level 9 - zone a","toilet - male","201-906","building b201 east"
,,"201-957","expanded","fitout","level 9 - zone a","201-957","toilet - male","building b201 east"
,,"Level 9 - Zone A Toilet - ACC","grouping","fitout","level 9 - zone a","toilet - acc","building b201 east"
,,"201-902","expanded","fitout","level 9 - zone a","201-902","toilet - acc","building b201 east"
,,"201-955","expanded","fitout","level 9 - zone a","toilet - acc","201-955","building b201 east"
,,"Level 9 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 9 - zone a","building b201 east"
,,"201-903","expanded","toilet - female","fitout","level 9 - zone a","201-903","building b201 east"
,,"201-958","expanded","toilet - female","fitout","level 9 - zone a","201-958","building b201 east"
,,"Level 9 - Zone A Riser","grouping","fitout","level 9 - zone a","riser","building b201 east"
