"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f93c774c-afda-4c7c-8e14-17f82878b80f","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","July 22, 2024 - July 26, 2024","Monday"
"c9d20e34-ef52-41b8-ab60-4cddeaf5db2f","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","July 22, 2024 - July 26, 2024","Tuesday"
"52971f04-408d-439d-ab38-f22548514882","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","July 22, 2024 - July 26, 2024","Wednesday"
"adbe6411-d016-42d2-b822-162b73962e2c","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","July 22, 2024 - July 26, 2024","Thursday"
"de18037f-aaa0-4f1f-a271-87cbb0e73441","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","July 22, 2024 - July 26, 2024","Friday"
"c912380f-a169-4e76-9675-7bccb4f6f80a","","not-started","","folder","TRUE","FALSE","Tasks","July 29, 2024 - August 2, 2024"
"b0a0d9ea-f418-4ac2-a64d-54c4d4bf4a8b","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","July 29, 2024 - August 2, 2024","Monday"
"46755944-477f-4268-b036-7d886f70b186","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","July 29, 2024 - August 2, 2024","Tuesday"
"19dd2053-7354-4d7a-b248-3efb8c34ea95","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","July 29, 2024 - August 2, 2024","Wednesday"
"faf04ebe-7911-4ebf-bc49-5f8302a78013","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","July 29, 2024 - August 2, 2024","Thursday"
"74c0b69b-ee43-4939-b43b-96cd8781c812","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","July 29, 2024 - August 2, 2024","Friday"
"91470caf-46d8-4083-975c-98aac82cc829","","not-started","","folder","TRUE","FALSE","Tasks","August 5, 2024 - August 9, 2024"
"96cf198f-d606-46e5-aecb-921986a5afeb","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","August 5, 2024 - August 9, 2024","Monday"
"8361de38-a7b7-4f5d-8869-151157cdb6d8","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","August 5, 2024 - August 9, 2024","Tuesday"
"011e400e-8f75-4d31-918f-ea8a4018b9f6","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","August 5, 2024 - August 9, 2024","Wednesday"
"bf5ee4fe-6212-4fa2-b823-907e14adf157","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","August 5, 2024 - August 9, 2024","Thursday"
"5dce7ba8-3206-466a-b505-d41b3f3ede73","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","August 5, 2024 - August 9, 2024","Friday"
"009e242f-f2ba-4172-afe3-057ab506cc2d","","not-started","","folder","TRUE","FALSE","Tasks","August 12, 2024 - August 16, 2024"
"cf10a4aa-277a-4e53-a369-aabb2594e086","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","August 12, 2024 - August 16, 2024","Monday"
