"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad2e66d9-2596-4836-a908-083dbbe44f93","","fail","","folder","TRUE","FALSE","Site QA"
"784115f6-d19e-481e-98da-2dadf5aee4f3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A"
"998b52fe-078b-4425-921a-56aa05273680","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2"
"623dd645-284e-4fac-9eb7-8bd581819cf9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas"
"3bfc0efe-503c-42bd-9d67-17d4450a6dec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201"
"eb516c62-8cbc-4155-8cd0-3e7efe14c586","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Manager"
"bf966b53-306a-4e83-b710-e19f2b50aef2","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Manager","Pre Wire"
"c8db056a-5de9-44c9-b775-d6ae89b44c09","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Manager","Terminated & Tested"
"55aad7cb-4ff7-424e-8c4b-5d63173f1a66","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Manager","Fit off"
"38267b3a-10f3-4915-9fc0-58a5ac7aa62c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Station"
"55bdb18c-beb8-428e-995a-b1853deceb7c","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Station","Pre Wire"
"1fd19b48-761c-42af-b265-1aed218969fe","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Station","Terminated & Tested"
"aa56a27e-671d-4ea9-92c6-963db8498123","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Nurse Station","Fit off"
"792143a6-5ae5-4f4e-afb5-c43dc7564e42","","not-started","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Common areas","Lift Lobby"
"da4661c7-3b8e-45f5-93ec-09a257ffd70c","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Lift Lobby","Pre Wire"
"bb6340cf-a89d-4f02-8506-25f9f4168b03","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Lift Lobby","Terminated & Tested"
"267c558f-69d5-4061-8754-d27a910e600d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Lift Lobby","Fit off"
"ee92877f-2896-4c54-9ecf-22e192bf7750","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Common areas","Corridors & Common Area"
"9548a661-ff7d-4d4b-9a8d-c89b806113ae","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Corridors & Common Area","Pre Wire"
"39caba92-9135-4b16-b6cd-bd9763f619f3","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Corridors & Common Area","Terminated & Tested"
"36a32bb4-3d9b-4728-8a29-f28489b787ea","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","Corridors & Common Area","Fit off"
"e71136cd-d73e-4062-bd8c-2e2a03bbea47","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Common areas","TV Lounge"
"70a84a9d-7114-49c3-a6f9-cde2ac8001f4","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","TV Lounge","Pre Wire"
"f0a2692d-73b4-409d-9330-24af53324428","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","TV Lounge","Terminated & Tested"
"3de1a3fe-0c28-40f3-8680-ad13b751a69d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Common areas","TV Lounge","Fit off"
"e966bd9a-c071-4d10-a77d-83b1ee756a1e","","not-started","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Service areas"
"1bb2c290-bb7b-4685-a6b6-2b81dbd541d2","","not-started","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Service areas","Electrical DB"
"521b0fad-a7ca-47ff-95db-1b1d764537b4","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","Electrical DB","Pre Wire"
"78807320-f3d2-4606-9f04-d12d5f1f4b77","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","Electrical DB","Terminated & Tested"
"41fee503-c49c-443c-aa3e-36154cfe86b1","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","Electrical DB","Fit off"
"57c9b4e3-a0f8-431b-96ef-23c7322fe453","","not-started","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Service areas","ICT Riser"
"1f42bb87-c532-41d6-940e-2c3dd9e7c7fa","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","ICT Riser","Pre Wire"
"b3f90c05-48c4-430b-a192-bc53ddecbbb2","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","ICT Riser","Terminated & Tested"
"c877ced9-fcad-4833-8f0a-fc5f0329850d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Service areas","ICT Riser","Fit off"
"6a6390af-99ce-40f0-bcc5-eb1e0e9c8ad2","","not-started","","folder","TRUE","FALSE","Site QA","Building D","Level 3","Floor Commissioning"
"854870b4-838f-4c00-bde0-31e8b46df495","","not-started","Floor Commissioning","checklist","FALSE","FALSE","Site QA","Building D","Level 3","Floor Commissioning","Floor Commissioning"
"a767b8be-3a03-47c8-9048-812d481ce5b4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4"
"9d578c30-3815-40e7-8442-2019a3f6f47e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas"
"4bc19c7a-76fd-4a78-9d28-8e4d84963856","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 401"
"d515101d-c6f8-40f3-b3c6-5af247170228","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 401","Pre Wire"
"88a94760-58ec-4801-b899-91ba2d69a6b2","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 401","Install DB"
"e8aac4ee-b941-4b7f-8f8c-c9f74979c464","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 401","Fit off"
"abd805c2-13ba-4481-96da-d4f20ab637af","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 402"
"14f52bf9-1e2a-42e3-8692-78233cbb050f","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 402","Pre Wire"
"cdb7382c-0e3a-440a-bac1-294c61aa4e33","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 402","Install DB"
"7c6b3be5-9b79-4f2d-8c69-6969014def29","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 402","Fit off"
"bb5bdd54-340a-41dc-95ec-a7c25972f5ff","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 403"
"521b8fa5-4471-4dc9-835c-665be91b16ed","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 403","Pre Wire"
"0e37bae3-4e57-4cbe-a17a-163ca120cd64","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 403","Install DB"
"68f6648c-6a6a-46a0-a6a6-31bc9880c083","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 403","Fit off"
"040184ad-e314-410a-9062-228bef817456","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 404"
"31a06bfb-f979-4e6c-b8b6-ca141ecbdbc2","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 404","Pre Wire"
"bbffba3b-65a2-4dd5-a2d4-7f72a76b132c","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 404","Install DB"
"28440f30-ecd5-4a9b-9bd9-a49a431d4264","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 404","Fit off"
"b1d0a050-0876-41c9-b874-58144abe9cd7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 405"
"9f212c22-3bc5-4a8c-8494-6dade965f145","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 405","Pre Wire"
"de32de75-6ec0-4922-8626-fe4205740ceb","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 405","Install DB"
"406bd488-083d-465a-b7a2-3afb902b68c0","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 405","Fit off"
"959f436c-01ab-4e60-aa0c-c6d2bdbf4144","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 406"
"4d321ba0-b82c-4dd2-ae19-d775bbfe471e","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 406","Pre Wire"
"6a2d65d6-3d14-43dc-b05a-954c3e1bbe69","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 406","Install DB"
"be6e146d-aece-465a-a920-cec898a6f39a","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 406","Fit off"
"f19e4a23-2bab-464d-a462-c02f764bce00","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 407"
"478daf87-daf8-4819-8789-dc35d18f6b72","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 407","Pre Wire"
"b84127b8-6c5c-4de3-ad20-a199c8df638f","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 407","Install DB"
"d14857d8-2d46-4258-8c15-f72bd9a05e72","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 407","Fit off"
"46a18b98-f615-4e96-ae93-81ba06982d0d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 408"
"e0c8b6b1-9a8c-4f34-a3d7-c15c4456ea09","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 408","Pre Wire"
"3a27d151-11ea-4021-9ce4-746093fafc80","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 408","Install DB"
"6f9fa82c-a3b1-49c3-949c-bcbb7a2b086a","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 408","Fit off"
"3610fd5a-f924-4843-bc48-e210a9101b47","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 409"
"1f38f26a-fc49-403d-92cf-03a8e3d14330","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 409","Pre Wire"
"25fcf7b4-61a9-4609-92cc-0d9588a8ca0c","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 409","Install DB"
"156e42e7-f43a-496c-b3f3-6af5ea05ef05","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 409","Fit off"
"0d8f6eca-ca0d-4937-b24c-5845216ce5fb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 410"
"40b5ad96-e7e2-4f39-9c4a-950ded163108","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 410","Pre Wire"
"61cd88f5-6f7a-4bc0-b38b-d7fe5b295755","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 410","Install DB"
"26807989-b3c3-4f7d-a6c1-30ecd0e2ba98","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 410","Fit off"
"a676f15b-50e2-42e6-a3d9-aa7d84c6ad53","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 411"
"49ceae77-22e6-411a-a900-a8c1ba542c7b","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 411","Pre Wire"
"773d17a1-87a2-443d-8fb7-9a137bdb1e98","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 411","Install DB"
"035db0c8-35bc-4f8d-a8b0-dc88a0f7e06c","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 411","Fit off"
"4ecd6752-aba9-41f0-b05b-3b8cabe8994a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 412"
"934d50fb-243d-4a08-a44a-8c78f787e7f5","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 412","Pre Wire"
"a6d18479-5adc-407f-9c4e-10fa6da262a6","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 412","Install DB"
"b1656bbd-668b-4855-8703-d95f0cbb1bcd","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 412","Fit off"
"0ae2baba-5d8d-48b2-b826-7e36a621bad5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 413"
"490be2ec-7912-47ac-8968-7a52821cdf41","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 413","Pre Wire"
"6f2b8244-b8f2-474b-b8db-d124c3ab9fad","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 413","Install DB"
"85e14877-5e9a-486c-bd83-0e24d2c4c9da","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 413","Fit off"
"14c12bcf-57f5-4299-9ca3-a9e47ae5b03f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 414"
"4a957008-6ad7-43a1-b7f5-1296b38b10de","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 414","Pre Wire"
"343bc48d-6a7a-4c3f-9082-26679178287b","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 414","Install DB"
"ecb30bf4-ed27-46b7-9f70-18031a3f8a23","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 414","Fit off"
"a4cbc2c6-5b92-4127-b3e2-a7aa8b4dd700","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 415"
"7fb76701-03c7-44d8-a9d4-81faa07ca434","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 415","Pre Wire"
"e4bd9185-6094-40ce-9c1c-7ce5de6aefc3","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 415","Install DB"
"e3830df6-b079-490a-a9bd-e0b7cb368607","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 415","Fit off"
"b4a1fa3f-2634-4340-948b-d0a84e3da6a4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 416"
"b156c822-0d1d-48de-867c-bf02f0d91fb3","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 416","Pre Wire"
"9d8a4e1b-8e8c-4fd6-ab68-68cca0755881","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 416","Install DB"
"9dbde385-07df-4a81-9e4d-f0595b9dcc66","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 416","Fit off"
"289999e9-f3a9-49ce-99e0-59f80b013dc7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 417"
"f78aba05-338a-4962-8410-e28d561a6487","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 417","Pre Wire"
"c1263a56-a946-4f7d-83c1-0920c96d5bd1","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 417","Install DB"
"34a72f2c-111e-4de2-8c4c-da5f5439633f","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 417","Fit off"
"6ad81c2d-a005-4d92-bbf1-30516aa33cf1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 418"
"3eb95f9d-a12f-4901-ac7e-53fbbe8dfafc","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 418","Pre Wire"
"247f1a0f-880f-4ed9-9d57-44efb2f1ecfe","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 418","Install DB"
"0659a649-3a2b-4681-8fe2-531544802d93","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 418","Fit off"
"7bbed73d-a748-4ae1-b9b4-8737ab453c35","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 419"
"f846d3d9-d0d1-4a33-97a8-43508251a681","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 419","Pre Wire"
"8b16d5f1-c906-4f05-8637-aa89d97613a8","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 419","Install DB"
"70fd8fe6-dda9-4daf-8981-ac5e7c82cc24","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 419","Fit off"
"4257c498-4ae9-46e9-b669-513f4c05f9b1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 420"
"77cf7230-6368-4598-8ae3-2c8584f2b47e","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 420","Pre Wire"
"3fc9989b-c5f1-4601-97b1-77c695f376b9","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 420","Install DB"
"52f9baaf-ede7-4a8b-969e-56b609d29b4a","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 420","Fit off"
"7f91baf0-e929-4a31-9f54-0342edbd6443","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 421"
"16d09e82-29e8-43a1-b295-586c5b01a453","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 421","Pre Wire"
"f0b4f1b5-a907-4cff-b863-374beb778be2","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 421","Install DB"
"cccb1caf-8b1c-46b5-adb7-a5c6b3969768","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 421","Fit off"
"c7d7956b-d70b-4f80-8fee-134aa42b8f22","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 422"
"dc545bcc-9c38-4a98-a661-77789c9b0496","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 422","Pre Wire"
"257064b5-9068-4fec-aae0-9ed8b4c3ef11","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 422","Install DB"
"72dc912e-debe-41a1-b6ff-3b9cb186eaee","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 422","Fit off"
"e46e91d0-3793-4fe2-af17-aefb933fe5e7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 423"
"f22d8902-0f63-44f1-a23d-5848e9a318a5","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 423","Pre Wire"
"248c8518-60b8-473d-9e57-67c29e68427f","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 423","Install DB"
"fc3749c9-74e4-4848-889b-c74b139cdaa0","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 423","Fit off"
"507d775d-d9e2-4811-bea5-6f5728a2f3a9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 424"
"20e06067-176f-4168-9f1d-66875121f3e6","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 424","Pre Wire"
"59503334-abb7-4e12-9180-1bbe76dc75df","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 424","Install DB"
"f707138c-7dc9-4f79-bfb7-cd9920f62ba0","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 424","Fit off"
"465e14f6-faef-4a24-b5c7-25f2a22d3f68","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 425"
"432ea7a8-0c28-4ac2-88b5-8bfcd17799ce","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 425","Pre Wire"
"f9bdaa8c-289a-4495-857b-9cab06c4219d","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 425","Install DB"
"c14a8290-0429-4707-a9f5-06b18bc04b21","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 425","Fit off"
"6de0940d-03b2-4053-8339-a4abdd43b198","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 426"
"44aa25f4-6ba3-49f8-b6e2-0cfa5afb8bcc","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 426","Pre Wire"
"cb3589fb-2c8a-4ef5-9757-a468a2ffd021","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 426","Install DB"
"d8d3a32d-d0b2-4bd1-882d-cdf62c466fee","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 426","Fit off"
"0f7528c6-53de-4423-8a43-494e76321978","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 427"
"6afea420-8077-422b-b99c-e5376ca2e839","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 427","Pre Wire"
"e9180db5-e9a8-40bc-918b-e3b0dbf3cf53","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 427","Install DB"
"f09ecf45-79b8-42b2-a582-3d1718e1cdcc","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 427","Fit off"
"1bfb635e-9fb6-46aa-8ac0-37708ae770ca","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 428"
"d873a529-982b-4a27-aa71-d87c3763d523","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 428","Pre Wire"
"92cabe77-1b1d-496c-805a-62c6cc4637dd","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 428","Install DB"
"e5d8be6b-50b3-4136-b13b-11d4d46db3f6","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 428","Fit off"
"4dd1f1e7-08f8-43e5-8d0c-2d318be98293","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 429"
"9c3e669b-2c59-4b5a-a7e5-f61c10d12c8e","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 429","Pre Wire"
"9d8b8a77-d37c-45bd-9d82-03945d312f11","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 429","Install DB"
"180161d5-6494-49cd-97bc-b7f8500f0553","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 429","Fit off"
"a32cd13f-0df4-45b0-a1e0-5406aa458483","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 430"
"2e0643f8-46c1-4d87-9faf-17c23a49430b","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 430","Pre Wire"
"51c24e50-a004-4d4b-b6ad-97348549db28","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 430","Install DB"
"63273d24-527e-443d-a96f-3d55b84d62ee","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Residential areas","RM 430","Fit off"
"9b95ee29-2092-45ae-9422-36ddde05b689","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Common areas"
"bab8666d-5ed2-4042-8ddc-075d6392e812","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Common areas","Family room"
"a3106f32-d99e-4143-ad56-fcb8bf6e367e","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Common areas","Family room","Pre Wire"
"06281d87-572a-4da7-9cf5-aaeb1f11cdfe","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Common areas","Family room","Terminated & Tested"
"a9576415-a062-4b7a-94f5-56f3211abe18","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building D","Level 4","Common areas","Family room","Fit off"
"c8fda567-cf90-4749-a5ec-d9f9fab1d520","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building D","Level 4","Common areas","Dining"
