"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8d115d6-5016-446d-a46d-58496e57e006","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"b929c8eb-2b7f-4764-90ec-bf3ac6e6d031","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 1"
"d31f7d4b-b45e-42c3-b407-b639f354125f","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 1","AE-ITCX-001 - Temp DB Checklist"
"a035750c-9a7a-4eb9-bf96-fdee6c716c45","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
"c7f793fe-2d3c-4006-83b8-a3ff7a41469f","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"5820cf9e-96a5-480d-b119-62ab3156e1eb","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 2"
"88d89277-ea9c-44a1-a219-bb55a069cf17","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 2","AE-ITCX-001 - Temp DB Checklist"
"ecbe29e5-f571-4c2c-bca5-4dcf3fd3fbe0","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
"1e0343b1-f263-42fa-bb81-9801fd49d0aa","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 3 DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"4cc47430-28af-419a-9727-be77fdcc89e3","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 1"
