"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"61d58466-a270-5742-90b2-d01ea9b66401","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel has been installed correctly and is free from defects"
"543adbb9-0322-5196-837f-67b1f8f7a8f7","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Bracket Installation"
"54437b8f-e9ae-5e67-826e-ef22dc09b706","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel"
"0aac59b0-33ba-4d12-9a0e-09f06ba0bac5","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005S"
"35a078c9-5c6a-5a3c-a01d-f686e3d9f234","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005S","Panel has been installed correctly and is free from defects"
"67d0d716-d592-52c8-818e-81f2c15988ab","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005S","Bracket Installation"
"ef557a7a-2b43-5d8e-a264-83df6be00f91","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005S","Panel"
"ace6199a-69c0-4645-809d-2ee1e50a7569","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006"
"d5a49f26-0d04-5b6c-a6c2-3f9e3c84646d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel has been installed correctly and is free from defects"
"ef9c0156-2d44-52ca-ad08-4a38bb114ec9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Bracket Installation"
"9fca90bc-88e5-504c-b291-834491994d03","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel"
"71d6165f-da4c-4a7b-b338-8071ec175d89","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006"
"eb2303ab-7ada-5b5f-bb63-9688450d8e1a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel has been installed correctly and is free from defects"
"ab388d38-9271-5550-baaf-adb12fd9e4de","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Bracket Installation"
"83eafafc-5ccb-5c7c-a362-7b59fbaaf418","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel"
"9af0173d-ca6a-4962-8df1-e6e3ec1da3b9","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006"
"b551ca42-78f4-5fe5-9a9d-2f8f50489331","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel has been installed correctly and is free from defects"
"f220ea26-e93d-5ffe-915d-c2f7768c772c","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Bracket Installation"
"8208f6d2-4ce6-5b97-b537-cf5b243a69e2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006","Panel"
"093e6845-5d9c-4de4-88f4-5f312599823e","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006S"
"751231e3-a15b-5389-aec4-82ccd22c6bde","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006S","Panel has been installed correctly and is free from defects"
"28ea1ff7-43ce-5598-a989-aa01c4073fd4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006S","Bracket Installation"
"1778394e-8425-5b46-9f69-6be0fecd5644","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-006S","Panel"
"df8bddf6-9312-4495-a849-73a9baee1f53","","checklist-sectioned","not-started","Panel - Level Completion Checklist","checklist","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off"
"1471edb2-4cd3-538d-a335-9a864472d46d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion"
"1a263aac-7c39-534c-9065-8e94641cd654","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Grids and RL's in place"
"d1d26712-9535-5be6-97d9-1ffa42fb1f54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Structural tolerance check"
"32532c8b-c376-5db7-b7e2-dd3dda344999","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Sub Frame/Brackets installed correctly"
"3c2532c9-d368-562c-ad95-8c457ab44273","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Panel installed and secured with approved methods"
"218880dc-80e0-53b4-8d5f-e954d43bcd6e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Head bead/temp fixings installed"
"2eb9906b-cd77-5116-b40f-5bf40bf26d72","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Smoke flashing/Area caulked"
"2c9fcc99-4227-593c-a188-e0bc60dd9050","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Panel completion","Panel free from damage/scratches"
"784ded63-7d16-5f3e-8c1c-bc2be56418e9","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Final Sign Off"
"b352f6c1-35c8-5dbe-a05a-2a14c792922f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Final Sign Off","All panels have been inspected and installed correctly."
"20d65244-8294-5aed-baa8-5b5c4d914ef7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","Level - Final Sign Off","Final Sign Off","All variations/modification have been closed out"
"ccbbb6b2-51aa-40f8-8bca-0db457882c6b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","FT01","Level 03p1"
"3743f054-ec47-4e8d-8612-f50b909ce73c","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Level 03p1","WLC-FT01-L03-148"
"eb081cd5-a372-599f-bde3-f605a8fb9e8f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-148","Panel has been installed correctly and is free from defects"
"8d54f899-e9d6-5fd3-8ce8-4b52aa90d0c8","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-148","Bracket Installation"
"1b3df996-a018-5ad8-846c-2f2ec9373b45","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-148","Panel"
"ddafb2c0-d538-4921-9184-b3616971b4af","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Level 03p1","WLC-FT01-L03-149"
"3950c8ee-2451-5ba7-8816-3ca63f57237f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-149","Panel has been installed correctly and is free from defects"
"6ee2fbcd-a46c-5baa-a823-c4db7d6fe3c1","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-149","Bracket Installation"
"751facce-b0fc-5867-9f49-0acdd856f665","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-149","Panel"
"65cca634-24c9-494b-8cc1-a4361fccacdb","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Level 03p1","WLC-FT01-L03-150"
"aa1c08bf-9ecf-5a99-a4cf-e4547e441fa8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-150","Panel has been installed correctly and is free from defects"
"b4ffe217-9dca-5a3c-860d-7677b6c6fbe0","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-150","Bracket Installation"
"f9180141-d72b-569e-9b5f-4f77b04a5553","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Level 03p1","WLC-FT01-L03-150","Panel"
"16327394-ac01-474d-a5d2-9d6c052be866","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Level 03p1","WLC-FT01-L03-151"
