"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c0fe5c62-cd8e-4a15-aee0-324317bb0202","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 03","QA- waterproofing"
"ab5b0c74-10d9-473a-9744-13d83e720ab9","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 03","QA- Tiling Installation walls"
"9774f2ef-f2da-49dc-baf3-8c7eafc40ebd","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 03","QA-Other Information"
"4141c35c-d000-4f56-835e-e94caa0cda89","","not-started","","folder","TRUE","FALSE","Level 1","L1 04"
"86504dac-c229-4c33-a068-ea7d6ef438e1","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 04","QA- Wall/Floor prep"
"db4e62ee-afb6-4d8f-b850-c6ae57cd9eb1","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 04","QA- waterproofing"
"6c57d842-3f43-4d49-99a8-25bc0b9010b4","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 04","QA- Tiling Installation walls"
"faa8b309-4e73-4b6a-b58f-8f4828e6a47b","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 04","QA-Other Information"
"f026e0fb-912b-4eb4-8dd6-f3567db1f4c6","","not-started","","folder","TRUE","FALSE","Level 1","L1 05"
"f7f7e843-7111-4d7a-8f65-421f405d9c03","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 05","QA- Wall/Floor prep"
"5b292b89-f855-475d-93c6-1f2ab1051715","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 05","QA- waterproofing"
"bce198f8-bc84-4880-86ec-723a71eada78","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 05","QA- Tiling Installation walls"
"c9df918d-f87f-4127-946b-4335d7aab085","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 05","QA-Other Information"
"467d6484-a294-4640-9fca-e33e4298988c","","not-started","","folder","TRUE","FALSE","Level 1","L1 06"
"a645dcc1-247c-4f7e-ae83-68133cddbec0","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 06","QA- Wall/Floor prep"
"99d430ba-c0a5-4d4d-830c-9f9166aff708","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 06","QA- waterproofing"
"3b93199c-e1b3-4625-9527-e66ffd700e8d","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 06","QA- Tiling Installation walls"
"196be7fe-7b13-4d55-b9aa-6ef31d715f3e","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 06","QA-Other Information"
"ea14bdd7-dd49-48bb-ae54-020c19c53ecf","","not-started","","folder","TRUE","FALSE","Level 1","L1 07"
"e5d2eadb-217f-4a9d-91a7-c26d60ee16cc","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 07","QA- Wall/Floor prep"
"d053e121-c406-4031-ad78-969ef24aa980","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 07","QA- waterproofing"
"ab41942f-470b-48f0-85b8-d46f63bc392e","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 07","QA- Tiling Installation walls"
"666821c9-8a25-40c5-a238-3c9f3e491298","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 07","QA-Other Information"
"aeca5d9d-abc2-4ed1-a0ae-2068b3d8a4a2","","not-started","","folder","TRUE","FALSE","Level 1","L1 08"
"f763c26d-a7ea-48da-8e0a-9730c3dacf98","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 08","QA- Wall/Floor prep"
"98a0096e-ee50-435d-a386-b8a93650e036","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 08","QA- waterproofing"
"59eced37-a4a6-4847-8d23-fac972f21316","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 08","QA- Tiling Installation walls"
"3005291a-20e8-4c33-81ee-6b4be1ea2350","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 08","QA-Other Information"
"a61a39df-9169-4c30-98a5-26f9e8bc15c5","","not-started","","folder","TRUE","FALSE","Level 1","L1 09"
"93925731-4b54-4be3-804b-803419b1ebbe","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 09","QA- Wall/Floor prep"
