Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Detailed Progress Matrix (L31-L37),,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Level 31,grouping,Level 31,,,
,,Circle,grouping,Circle,,,
,,L34-133,,L34-133,Circle,Level 34,Site QA
,,L34-134,,L34-134,Circle,Level 34,Site QA
,,L34-135,,L34-135,Circle,Level 34,Site QA
,,L34-136,,L34-136,Circle,Level 34,Site QA
,,L34-137,,L34-137,Circle,Level 34,Site QA
,,L34-138,,L34-138,Circle,Level 34,Site QA
,,L34-139,,L34-139,Circle,Level 34,Site QA
,,L34-140,,L34-140,Circle,Level 34,Site QA
,,L34-141,,L34-141,Circle,Level 34,Site QA
,,L34-146,,L34-146,Circle,Level 34,Site QA
,,L34-147,,L34-147,Circle,Level 34,Site QA
,,L34-148,,L34-148,Circle,Level 34,Site QA
,,L34-149,,L34-149,Circle,Level 34,Site QA
,,L34-150,,L34-150,Circle,Level 34,Site QA
,,L34-151,,L34-151,Circle,Level 34,Site QA
,,L34-152,,L34-152,Circle,Level 34,Site QA
,,L34-153,,L34-153,Circle,Level 34,Site QA
,,L34-154,,L34-154,Circle,Level 34,Site QA
,,L34-155,,L34-155,Circle,Level 34,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 34,Site QA,
,,Corewall,dynamic,Corewall,Level 34,Site QA,
,,Alimark,dynamic,Alimark,Level 34,Site QA,
,,Level 35,grouping,Level 35,,,
,,Circle,grouping,Circle,,,
,,L35-001,,L35-001,Circle,Level 35,Site QA
,,L35-002,,L35-002,Circle,Level 35,Site QA
,,L35-003,,L35-003,Circle,Level 35,Site QA
,,L35-004,,L35-004,Circle,Level 35,Site QA
,,L35-005,,L35-005,Circle,Level 35,Site QA
,,L35-010,,L35-010,Circle,Level 35,Site QA
,,L35-011,,L35-011,Circle,Level 35,Site QA
,,L35-012,,L35-012,Circle,Level 35,Site QA
,,L35-013,,L35-013,Circle,Level 35,Site QA
,,L35-014,,L35-014,Circle,Level 35,Site QA
,,L35-041,,L35-041,Circle,Level 35,Site QA
,,L35-042,,L35-042,Circle,Level 35,Site QA
,,L35-043,,L35-043,Circle,Level 35,Site QA
,,L35-044,,L35-044,Circle,Level 35,Site QA
,,L35-049,,L35-049,Circle,Level 35,Site QA
,,L35-050,,L35-050,Circle,Level 35,Site QA
,,L35-051,,L35-051,Circle,Level 35,Site QA
,,L35-052,,L35-052,Circle,Level 35,Site QA
,,L35-053,,L35-053,Circle,Level 35,Site QA
,,L35-054,,L35-054,Circle,Level 35,Site QA
,,L35-055,,L35-055,Circle,Level 35,Site QA
,,L35-056,,L35-056,Circle,Level 35,Site QA
,,L35-057,,L35-057,Circle,Level 35,Site QA
,,L35-058,,L35-058,Circle,Level 35,Site QA
,,L35-059,,L35-059,Circle,Level 35,Site QA
