"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7888a2f8-01cd-430f-9e53-b6c291eca056","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 7"
"18794a57-d338-492e-a4b9-4667cde66d1c","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 8"
"02a26a3b-f164-4450-a7cd-709e25e3369d","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 9"
"e700dbe0-8c77-4459-9965-939fbf493387","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 10"
"8b743aa4-e85e-44c2-a5e2-ae10d372f7a0","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 11"
"aa7f6f6f-71b2-4aae-9689-c5195c9780bd","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 12"
"b518ce97-e1f5-4949-95bd-45dd0b62dd3e","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 13"
"edb82469-87a9-463e-b125-a540f6cae366","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 14"
"ab373ff9-0cf0-452d-b092-850c97ea4eda","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 15"
"afec07bb-29df-4812-8837-be2eeacf79e3","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 16"
