"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"880346da-0afe-46b1-9a0e-835368c577d2","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-246"
"1bdfe98a-90cd-4a92-acea-c92f35d20cbc","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-247"
"b288024b-733d-45cb-827a-8c976f879179","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-248"
"c2761295-0764-408d-bfc7-fbd726082701","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-249"
"1b6fcb58-8282-44d1-9cea-4df96a7281a6","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-250"
"56b4342f-4909-4695-b59e-74958c46d28c","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-251"
"1506eeda-4327-4c8e-a1d6-3287d4fa3590","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-252"
"961c70da-6f2a-41bc-bf0c-45a7386a6154","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-253"
"6a023af3-3a8a-4daa-9725-57419c173014","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-254"
"4c974998-98d5-4cc1-8508-c4d998f15756","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-255"
"7a1a2e9a-af54-4d94-a98e-b9597235a532","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-256"
"8f6f028d-ca35-4efd-bb40-e84eb6ea60fe","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-257"
"d376ad42-5295-4c43-92bd-d4382ca0f0fd","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","LD-04"
