"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9894e7bf-35f0-4850-8152-78ac5e84a619","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Jump System / Climb Track Checklist"
"685316f1-3142-4a77-abe9-05b2b209d6d0","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Suspended Slab Checklist"
"b77e5657-b77e-4501-af18-1a2f3cd52e36","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Stairs Checklist"
"aeb12ffd-fd84-4c81-9cc9-743241a9a601","","","Screens","checklist","FALSE","FALSE","Site QA","Level 17","Screens"
"78e4ac83-a370-4fde-b689-d8720cc35f3b","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 17","Hoist"
"86bb325e-84c0-40ca-bf7b-e43911325e09","","","","folder","TRUE","FALSE","Site QA","Level 18"
"6cc2e1e8-8085-49e6-9e3e-7c0ff6141417","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Columns Checklist"
"d35020db-8093-4cd2-a775-44cb47d456cf","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Walls Checklist"
"9e173cde-f8a9-452f-8b41-ed7a4277b8ee","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Jump System / Climb Track Checklist"
"313d5764-d4b0-429b-b27b-1f4db3fc8887","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Suspended Slab Checklist"
"302f53d5-5794-49d2-8952-11297efebafd","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Stairs Checklist"
"65f5b301-3f18-42c6-b528-1c0aed5cb6d4","","","Screens","checklist","FALSE","FALSE","Site QA","Level 18","Screens"
"e45fdb95-89a5-463c-8630-4d8694ad88e1","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 18","Hoist"
"fc111fa2-49de-49e3-b8eb-e3dfdd5ed883","","","","folder","TRUE","FALSE","Site QA","Level 19"
"17840588-a587-42fd-986c-75d58f3a19b8","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Columns Checklist"
"5df74bea-23cd-4e6d-8495-d90f8e977c7f","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Walls Checklist"
"34075b2c-4db3-426c-a071-7093aa4c46ac","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Jump System / Climb Track Checklist"
"6e0d0f5c-5d42-4611-a59c-f18f7e0bf6fa","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Suspended Slab Checklist"
"c0b7fe09-bb49-47de-9a43-5e14fbdd40e8","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Stairs Checklist"
"09ec8d30-36f3-4e6b-bbdc-56f6d1e171aa","","","Screens","checklist","FALSE","FALSE","Site QA","Level 19","Screens"
"8d65591a-63d6-489b-bc6c-e0b9bdefd0bb","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 19","Hoist"
"5aa79b1a-5233-4b2c-8966-67dca72b389d","","","","folder","TRUE","FALSE","Site QA","Level 20"
"88b5b166-176f-4c4c-b476-dc5f4008de31","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Columns Checklist"
"b4e53652-e10d-4f68-a949-3053767f596e","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Walls Checklist"
"b851e572-1183-4a38-8fdf-80be234dbfed","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Jump System / Climb Track Checklist"
"d219c080-03c5-48fd-aecb-7c3483d8f2e7","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Suspended Slab Checklist"
"630152b5-95e5-4eed-ab52-602c9bab2765","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Stairs Checklist"
"e34cc4c3-bde8-48c0-9676-957b08aadf31","","","Screens","checklist","FALSE","FALSE","Site QA","Level 20","Screens"
"95e7cc33-3825-4932-bf64-c3845e325612","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 20","Hoist"
"f46e06b6-62d8-4e6b-974a-d7dbb7984031","","","","folder","TRUE","FALSE","Site QA","Level 21"
"93acd30f-d1da-4d22-b107-dd61d3bdabbc","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Columns Checklist"
"dea6e5b5-27df-4a63-814a-ea18b762feaf","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Walls Checklist"
"70f5e7fb-0b71-4b9a-8ae9-d103d8c23d1b","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Jump System / Climb Track Checklist"
"c2fb6235-2af8-4f3e-b89b-6f91268c1f0d","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Suspended Slab Checklist"
"1b90947e-5c5f-4246-bfdd-026435abff8e","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Stairs Checklist"
"cae9d1fe-6725-4407-9ac1-24499aae069a","","","Screens","checklist","FALSE","FALSE","Site QA","Level 21","Screens"
"383b8b6c-252c-43d2-bdd9-7b452d5cc9e8","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 21","Hoist"
"4c207b8f-5835-4cf3-bcc6-5477254d856f","","","","folder","TRUE","FALSE","Site QA","Level 22"
"c77dec03-7b4c-45b7-9d18-f14989e291fb","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Columns Checklist"
"3075a0fd-a487-406d-afea-f690b0429b15","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Walls Checklist"
"05359dac-8966-4860-bc7a-d5ac9d5348c7","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Jump System / Climb Track Checklist"
"991b6dc9-5c0c-4086-8fa4-22ef0d55172b","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Suspended Slab Checklist"
"5eb72f74-9f1f-46a0-9e11-7d1ea7794e06","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Stairs Checklist"
"4f34d628-5638-474f-8bed-2626c57a6884","","","Screens","checklist","FALSE","FALSE","Site QA","Level 22","Screens"
