Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
e2d1ec32-183b-4c35-a250-0ce6fb7dd0e3,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 3,
c54e9569-6048-43a0-8f36-faa043ae2fe4,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 4,
cee00f90-b5c0-4f73-b231-84ae8c7b5238,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 5,
e43a59d6-ba74-4639-8743-6c2a83933d2a,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 6,
d8cc100b-d85e-4dfa-b082-3c56b186ee25,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 7,
ad3265b9-7786-4d00-83c4-9ba3bea88965,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 8,
0c714c4d-b51e-431d-9def-1071c99acf66,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 9,
30ea7978-c0a5-4c44-8370-87eaf9481659,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 10,
88a46293-e0b1-4d77-8dd6-49817fb5e4d3,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 11,
fd38bccc-c0a5-40c3-bc5a-6b18d1eada5a,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 12,
528a3bad-854f-41c6-ab39-3c80dc64b3be,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 13,
fc88f44b-67e8-422a-9845-4572bcf7081f,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 14,
9454cad8-4c25-48d2-99d3-0fe622307854,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 15,
9ea333ec-a91f-4fa2-af83-8637ea75cba1,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 16,
9e63a480-eb1b-4401-b410-1594b20a74ca,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 17,
87fca782-d1bf-4856-abbc-e94dcaac9c04,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 18,
75c8de19-7001-472d-b377-2173c0c04922,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 19,
fc058839-6f1f-4e27-84d7-08d5b9d92eee,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 20,
79c6915a-3683-41cd-9f3d-1e46a2d8ced5,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,,
c6131477-6842-48d5-8f10-83706f3ae945,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 1,
b8d584c9-3f1d-48e8-ab50-e6bb71254f7f,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 2,
2273bc19-64cd-4b1f-8c4f-1707b5e2f58d,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 3,
052b3edf-edfc-4cfe-8fcb-ae7cae9e75a2,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 4,
f114be90-9337-4942-b651-73fe332dc63e,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 5,
016d4649-ca8e-4210-ae74-833fc109e0a1,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 6,
8b608193-cc80-4457-8da3-f63df012b458,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 7,
03c27693-e1cc-40a0-8378-ba38d1d91386,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 8,
5eeae4f9-9057-46d6-b5d6-72af8308f672,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 9,
e27c2242-0ef3-4ad5-b5ff-01f15a287620,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 10,
126237ae-3975-40b2-affc-4c53dd982412,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 11,
d3f89407-6ab7-4159-8de4-657a79970d17,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 12,
19bd0994-5e9f-4e48-89c7-54c07f2e0643,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,L00,Pour 13,
