"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bdf298c7-7c5e-40f3-9138-f43a8979e2d6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.14-W1"
"596a08db-878a-486e-868f-4ab81aeecb5b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.14-W2"
"5a69acbc-1647-4761-b71a-d6c7fb996788","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.15-W1"
"bb87696c-71f9-47ed-b638-5ae7bfef2d5f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.15-W2"
"c15a038e-1272-4297-b286-11c943f5cb8e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.15-W3"
"f4eae18e-7d74-41d9-bced-30298c72bede","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.15-W4"
"9bccda89-a980-406e-b461-3e758217e14b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.16-W1"
"06659516-3586-4c76-930a-a6fae3b76c74","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.16-W2"
"823cf675-8f3e-4db5-a0fd-f9541030c57a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.16-W3"
"644d0dba-4e14-4ac6-849c-c5b3c7380999","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.17-W1"
"fb34b272-feb7-4e72-9ff3-32b099296aa3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.17-W2"
"65338b4d-848f-452b-8ea9-6d8a00345014","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.17-W3"
"7b47e20d-0196-441f-aff4-1c4a32b7a673","","pass","","folder","TRUE","FALSE","Apartment","Level 4"
"f408bf40-eb84-44f6-8dd5-081eed5d1cc8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.1-W1"
"e8c7e221-e42a-43b6-b5f9-85f0ebaa519e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.1-W2"
"215e1bd4-d271-491d-bddd-a93c1ad315ce","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.1-W3"
"fc702309-8abd-4512-b76f-bb3ed06f5434","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.1-W4"
"52692ada-0c40-4d81-b641-d0db5fcdef5c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.2-W1"
"227c12f4-9e19-40c8-bd5a-5c6159ffbdb9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.2-W2"
"72083e8c-c92b-4d6a-8ff6-ab3a7bbb2355","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.2-W3"
"4f4f9e2a-cb6e-4788-bd30-b761bd01907c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.3-W1"
"697d3060-7d59-423b-93c1-8f127f8c3846","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.3-W2"
"4af0664b-24e7-4326-887a-29efb238002e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.3-W3"
"450aa550-9d16-4303-9b40-343141038724","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.4-W1"
"a1712674-e2a3-4f9e-bc38-feecca026d84","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.4-W2"
"13fadf0f-7f1c-4d3b-a028-d2e3af58e92b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.4-W3"
"0050638d-e958-4b7f-bc29-c987d86650ba","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.4-W4"
"c58d8caf-cc5c-4271-afcf-464f54d74b69","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.5-W1"
"32c16d40-3373-4cd9-8e48-9f5530809351","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.5-W2"
"a1aab4c3-0239-4493-b616-c9e05783c168","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.5-W3"
"01a35a38-e533-4471-9db8-a6f5d6510a6e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.5-W4"
"7d27f3bf-6cfd-4816-92b8-845aeedbd7ba","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.6-W1"
"356fdf9a-9395-49c3-bcf5-a2f3aece2582","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.6-W2"
"2ea97ad7-d6ce-4f33-a038-120265fa64d0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.6-W3"
"16ab58b4-c5c0-4241-96f3-2a7047e625f0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.6-W4"
"856c2b53-8b00-464b-b376-fa7022af50dd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.7-W1"
"1779dc38-c6ac-4b61-bab5-c9dae5820f37","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.7-W2"
"87f58a56-8014-411e-b975-3853b0c6b875","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.7-W3"
"8974cc4e-c57e-4d7d-b452-8b3c6f7cebc5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.8-W1"
"a3daa143-157a-4d18-ba7b-8d259df2642a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 4","4.8-W2"
