Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
0e27619d-525f-46aa-9170-f862f30aa617,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,SCOOTER STORAGE (3015) ,Pre Nail Framing Checklist,Details,LVL beam connections
be9edccb-fd76-4e2f-b401-67bceb70105c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC6 (117) ,Pre Nail Framing Checklist,Details,LVL beam connections
e3641368-d3da-45e1-b871-842798df2620,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC6 (118) ,Pre Nail Framing Checklist,Details,LVL beam connections
a5b740d3-1899-4662-9bc4-61d09affbc74,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC2 (119) ,Pre Nail Framing Checklist,Details,LVL beam connections
b07a0c80-d855-4a88-86a7-80a95c07ff48,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC1 (120) ,Pre Nail Framing Checklist,Details,LVL beam connections
1ec7c613-e3c4-4dbf-b8c1-31d5a1080d48,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC7 (121) ,Pre Nail Framing Checklist,Details,LVL beam connections
d63d0f24-7aa6-4ed6-82db-e88d569aa054,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC3 (122) ,Pre Nail Framing Checklist,Details,LVL beam connections
8c4d85a5-d7a7-48ba-9ef9-8174a25ca804,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC3 (123) ,Pre Nail Framing Checklist,Details,LVL beam connections
5ac9ee0b-00b3-46af-b806-31dcc922a6e8,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC4 (126) ,Pre Nail Framing Checklist,Details,LVL beam connections
5c94d27b-9442-49a2-ba1f-e7c5222ec885,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Zone 1 ,Zone 1A,CC5 (127) ,Pre Nail Framing Checklist,Details,LVL beam connections
