"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6a1cb645-eeb5-43a8-8e3f-77a63c432096","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C","Pre Install Checklist"
"3ba86b03-50af-4d21-a0b5-7e452ae4c024","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C","Installation"
"42f4c173-13d6-468f-80c0-9301c81a3721","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C","Glazing"
"f0140869-3ad6-491d-aadb-16ff029a60ed","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C","Performance Tests"
"6f949368-3bf0-4697-8ea2-6157553ebae7","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C","Handover Checklist"
"629671f5-4b11-4c84-b5d7-6aac91fb4ac1","","not-started","","folder","TRUE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge"
"fc8ba0ea-2d4b-42c2-a894-e243b32bd4da","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge","Pre Install Checklist"
"89464a53-46d4-4f83-b86b-74cf726a81d1","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge","Installation"
"d12cb4a7-479f-426e-a540-14ee5a941d66","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge","Glazing"
"e26caba1-7b70-4d44-8538-28fd7b39ab91","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge","Performance Tests"
"e6726c4c-f81c-434f-b77e-98ec0b249365","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#11 W2.26H-A - Function Lounge","Handover Checklist"
"b21b46e1-56f8-4568-aa76-8c875944e5bc","","not-started","","folder","TRUE","FALSE","STAGE #4","#14 WC - W30B"
"319e9820-cd3d-4646-b0f0-54794b5a2e1b","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#14 WC - W30B","Pre Install Checklist"
"78967829-52e6-4b50-9e46-ad16a7d5c9d4","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#14 WC - W30B","Installation"
"8375e6c8-b447-4865-8e52-b294e287b4e6","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#14 WC - W30B","Glazing"
"f7d05284-c6ca-4324-9ea1-76fb45148980","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#14 WC - W30B","Performance Tests"
"f089855d-0100-4041-95f0-0c9c134aceca","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#14 WC - W30B","Handover Checklist"
"a29cfe13-2e11-4277-8869-839e4be10898","","not-started","","folder","TRUE","FALSE","STAGE #4","#15 WC - W29A"
"55c18cb0-5f91-44b1-a07e-24b5a2c80f1b","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15 WC - W29A","Pre Install Checklist"
"a1a460e8-fbb9-4b6f-9076-30d9ed152289","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15 WC - W29A","Installation"
"e0af59a8-c65b-4fc3-8ca6-0a2e4caf7469","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#15 WC - W29A","Glazing"
"786fa857-0ee1-4c08-8a1f-fd962fe5e294","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#15 WC - W29A","Performance Tests"
"2f8df47b-8e70-40d6-b2a0-b8e376a8f808","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#15 WC - W29A","Handover Checklist"
"7525d614-a5ac-458c-b291-f8609ac3b4c0","","not-started","","folder","TRUE","FALSE","STAGE #4","#15a WC - W28A"
"c8c3146a-ab3f-4466-ae87-632a4367f6ef","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15a WC - W28A","Pre Install Checklist"
"71d03fb3-1b60-425f-ac16-10ce8ea75ee8","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15a WC - W28A","Installation"
"35002ddb-164b-4d35-91d1-b5f85317e0ab","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#15a WC - W28A","Glazing"
"3061cb56-85bd-4bbc-8ef5-e2c7fff6f315","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#15a WC - W28A","Performance Tests"
"194b9def-e044-4e64-a03a-d753b577e7d4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#15a WC - W28A","Handover Checklist"
"35c2e75f-3860-4799-8bd2-43cadde5f36f","","not-started","","folder","TRUE","FALSE","STAGE #4","#15b WC - W28B"
"02c462c6-94be-43d9-8032-c264e29addd0","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15b WC - W28B","Pre Install Checklist"
"e542012d-7d85-484d-8c26-0098d301fb4f","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#15b WC - W28B","Installation"
"c9d802c1-519a-4c41-b449-8c52141d32ff","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#15b WC - W28B","Glazing"
"4e03c9a4-2028-47ca-a887-8b42472dbf62","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#15b WC - W28B","Performance Tests"
"f6725bdb-1239-4ac9-bf6a-874a713de0c4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#15b WC - W28B","Handover Checklist"
"e79fd7b3-a54f-457e-b4eb-8a6e48e44cb4","","not-started","","folder","TRUE","FALSE","STAGE #4","#16 W 27A Stairs & Lift"
"bcc77270-69e4-4002-87cc-8d5fc6769e39","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#16 W 27A Stairs & Lift","Pre Install Checklist"
"d4a59f22-b402-4915-b45e-bad8044eb98e","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#16 W 27A Stairs & Lift","Installation"
