"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"7d1d39cc-da08-423c-a5e1-5bb3ac41ab0c","checkpoint","Has the window/door installation been completed?",,,,
"647c0d0c-2e29-491e-bfd4-992be7c985be","checkpoint","Is interior sealants installation neat and continuous.",,,,
"a9302fea-edd1-4722-959f-c0e7647a6628","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"da3081aa-7c50-4427-a124-5941cd0e44f6","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"f382da60-86f0-4d95-88b9-0186cb93a1bb","checkpoint","Is head flashing installed per plans and as detailed in the shop drawings?",,,,
"ec1dc875-df82-43d3-9ce4-c05edc73be55","checkpoint","Are all window and doors working?",,,,
"6a705fb1-db61-492d-8479-d239cddb0583","checkpoint","All handles installed correctly?",,,,
"72c988e3-bc13-4e3f-9b77-4a328341a81f","checkpoint","Are all the hardware installed correctly?",,,,
"2d46cc7a-5728-4b14-a445-fd40d8c19d2d","checkpoint","Is the joinery free of scratches?",,,,
"002e6da9-bb4c-4551-bb17-40466a9d2864","checkpoint","Is the joinery clean and tidy?",,,,
"cd91390a-02eb-4bac-91b2-06156f6a304a","checkpoint","Hinge doors strikes adjusted and locking easily",,,,
"d3fa69d0-ca19-4e4e-b6f5-0f94f71a40e6","checkpoint","Hinge doors 4 or 3 point lock operate easily",,,,
"5ad66470-6922-4c46-b707-5952bf987104","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"10330c5e-5bbd-4c67-ac39-c34269e1091b","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"324c3b4b-93f9-4bed-8d7d-7be27716ac58","checkpoint","Sliding doors - Strikes are adjusted",,,,
"afa4f79b-3dd0-42a7-9896-984e69be7b6a","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"0366c970-4c35-4602-a734-7ccf48edb56a","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"bed664b2-aa1c-4a04-ab3f-3cd55d7746ce","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"ba55d896-14fd-4366-a2d3-c3ffa8be9850","checkpoint","End Caps Installed",,,,
"9f048e5d-d882-4287-8620-9753d6e40b9d","checkpoint","Frames installed correctly?",,,,
"5420529b-0d1a-461e-8c2f-1f873a746b71","checkpoint","Modules installed correctly?",,,,
"6c11c047-e7b1-4f23-a483-6fe2024bf383","checkpoint","Drains are not blocked",,,,

