"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f9efed9a-bba8-4839-9e6f-8097239b4c0c","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16C"
"139f24f7-1d80-4481-be70-63b5c7c4b4fe","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16D"
"8e042440-7bd2-49af-abf5-b3e0abe22e9f","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-21A"
"bf329625-df78-4d52-b5d4-d79973c36381","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-21B"
"54b99d24-5587-48c6-8b75-8ec37112e99c","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-22A"
"d0f0cbb3-77b8-4cea-bef9-d5bbc81fd291","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-22B"
"198948df-887b-4c6e-96cd-92c7ec3d13b0","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36A"
"bdcef44c-7aaa-4e27-a3c0-e0a3eff11ded","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36B"
"89b91a9a-3043-472e-a093-53f2c9acd0c5","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36C"
"9890d72b-731d-44ee-b6b8-57679c5735b0","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36D"
"fcbd5782-bd0e-4f62-9ae7-3e27f9b9c6d1","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-13"
