"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b46d9193-860b-4841-a240-0782ca5abdcd","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.04.17 (Backing Rubber Replacement)"
"a9c621cc-97bc-4faa-bbb2-cf9486f40094","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.12.8"
"ecccb3ad-8d2e-49f2-8e48-158363303bd7","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.12.8 (Backing Rubber Replacement)"
"59fb5470-3c41-4c6b-b9d4-3ff0d27cfd5b","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.13.9"
"d750d49d-9449-4a60-aab0-9cccf36f6460","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.13.9 (Backing Rubber Replacement)"
"b1d0166f-61d4-4f80-a42b-686d68f6957d","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.14.10"
"5816194f-f229-4bd6-8792-edc421a7161d","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.14.10 (Backing Rubber Replacement)"
"a1719ef1-ccab-4856-a790-d073db4c3c44","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.15.17"
"506c6c10-8407-4662-98f0-1b589e0078d0","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.15.17 (Backing Rubber Replacement)"
"5316fd18-7f0b-4554-96d1-f21ea412e581","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 04","East Tower"
"0f4a59e8-4b00-4951-9375-290bf9a3d33e","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.05.4"
"40ab6ab6-3c08-4ee0-b895-4a3d28d5e203","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","East Tower","W.04.05.4 (Backing Rubber Replacement)"
"06fcb083-960e-45d5-bfe9-9c425fccd792","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.06.2B"
"d43d6b90-03fb-4d1c-a666-8e6bdc92f6e5","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.07.5"
"9b0a2bdd-93e1-4d79-bd5d-d2d2e39af9fe","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","East Tower","W.04.07.5 (Backing Rubber Replacement)"
"9b1fffba-9be4-4845-8559-4106a9f1d0ec","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.09.16"
"09ae10e3-1c40-40f8-8d76-d2dd4abfac26","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","East Tower","W.04.09.16 (Backing Rubber Replacement)"
"0a0a31e6-252d-49c4-bce4-38e1abc80f2c","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.10.6"
"9c81607e-cc20-42e6-b86c-58a054c36021","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","East Tower","W.04.10.6 (Backing Rubber Replacement)"
