"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bdffa2ad-2103-483f-96ae-dfa97170e1d0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","West"
"9b382ce8-2b4c-4742-abb8-f6148e26384a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","West","Slab"
"1677cf16-1f4c-4807-aa48-14607c56be5d","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 10","West","Slab","Mechanical Services"
"a2b191c3-13a7-48a9-8ba4-acb58678e0fa","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","North"
"64babea0-43d6-435b-9eef-dfd507063e8a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","North","Slab"
"33d1ea44-b516-4aa9-88e4-32ca56b3e602","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 10","North","Slab","Mechanical Services"
"038a859a-bda5-4c20-88e1-98d6b3f15e33","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11"
"2910cced-3125-4520-8f12-9e60aba0cc4b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","South"
"81f50ab7-a4b2-4c80-afc8-0a1d7c8342a5","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","South","Slab"
"bf30a295-5f76-4b2b-95ee-c321d744be94","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 11","South","Slab","Mechanical Services"
"389f035c-2773-4e93-939d-466eb750b7ef","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","West"
"bec91df6-e465-44d7-aa12-c71635cba72e","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","West","Slab"
"a4edf901-5585-4895-94d9-9b67fc297054","","checklist-flat","fail","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 11","West","Slab","Mechanical Services"
"3cb03cd7-089d-47d0-8e11-bd621d2c2adc","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","North"
"70897f01-36da-449d-8834-000b1fa75a0d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 11","North","Slab"
"b728f711-2be7-49b3-b739-cfe421a56611","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 11","North","Slab","Mechanical Services"
"498bc17e-4478-47e5-9655-31188c5b7cad","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12"
"564c2605-b6fd-463f-ad4f-6301af2669f0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","South"
"0206eaf2-f557-4cdc-98b7-3d7417e1e558","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","South","Slab"
"0c74d0c5-585a-4225-acb4-71ee53f7c925","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 12","South","Slab","Mechanical Services"
"d06a60e7-79cb-463c-871f-8e6cc3b72c37","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","West"
"64f6369f-3862-4d66-8692-21d9496ef163","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","West","Slab"
