"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"efdca4fa-803b-486e-ba5b-eea0cb347ea6","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 2"
"b7b3b826-c0a6-46ee-8e8c-96ec104f302b","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 3"
"db617786-ddf3-4daa-937b-8584a85e6c77","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 4"
"ac1de6d7-0c20-4760-bf4e-373ac36dd043","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 5"
"33603d92-a9aa-4ccf-98b1-a608de02343b","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 6"
"58dd5698-d1a8-420a-8fae-2fa46affcec3","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 7"
"8fa9d7b1-fc84-43ca-9712-9702dbdad598","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4","Top Down Construction"
"a4fa1b23-936c-48fa-bc74-f656cda20941","","checklist-sectioned","pass","Formwork & Reinforcing","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Top Down Construction","Formwork & Reinforcing"
"40f1f032-dbe5-4fcb-815b-a7695f1a1813","","checklist-flat","pass","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Top Down Construction","Suspended Slab"
"e95456b5-a231-4681-ba3e-ed3b9038f5c6","","checklist-sectioned","pass","Columns","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Top Down Construction","Columns"
"2e63a995-09d6-4557-ab80-415a3557faf9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 3"
"88a8d1ed-25fb-417c-8edf-9704fbdcbf0a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles"
"738b2e4e-0122-4ac1-afd6-ebd911500288","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 1"
