"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7ca6c3fd-0b7d-431a-bcd8-7412ca369f05","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Landing","BY-LD16"
"f20411ad-10bc-49f7-a9b0-e98cf7b81122","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Landing","BY-LD17"
"9d43de62-faef-4840-bce6-d21a29936c15","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA","Level BY","Lid"
"9a1ccebe-f832-48a0-a898-e475e5b0207b","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Lid","BY-P51"
"c7d22a09-43e6-4114-8ecd-9d2aeb74e57c","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Lid","BY-P52"
"e130fe43-f92c-40db-8b62-ca4ac5fa7d49","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Lid","BY-P63"
"fb67d161-f66b-4813-9200-43b7af197b99","","checklist-flat","not-started","Level Sign Off","checklist-flat","FALSE","FALSE","Building Y","Installation QA","Level BY","Level Sign Off"
"f7e16a09-5b25-487c-8bf5-d6c6b1858f69","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Building Y","Variations"
"7bd9cf26-b87e-440e-af6e-c86a6a6c6f92","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z"
"9444e8be-c31e-4cc5-a95b-b4de1873c6fb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z","Manufacture QA"
"fe672fb7-dc34-4f83-acc4-b729652fd52d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z","Manufacture QA","Level BZ"
"78f284f5-ced7-401e-9e5f-2b18b0965bc6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z","Manufacture QA","Level BZ","Core Lift"
"c7a9bc95-05c7-4b1b-83d9-2e01a29620af","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Lift","BZ-P01"
