Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,lobby,,level 55,lobby,floor/wall penetrations
,,Level 56,grouping,level 56,floor/wall penetrations,
,,zone 1,,level 56,zone 1,floor/wall penetrations
,,pour 1,,level 56,pour 1,floor/wall penetrations
,,pour 2,,level 56,floor/wall penetrations,pour 2
,,lobby,,level 56,lobby,floor/wall penetrations
,,Level 57,grouping,floor/wall penetrations,level 57,
,,zone 1,,zone 1,floor/wall penetrations,level 57
,,pour 1,,pour 1,floor/wall penetrations,level 57
,,pour 2,,floor/wall penetrations,level 57,pour 2
,,lobby,,lobby,floor/wall penetrations,level 57
,,Level 58,grouping,level 58,floor/wall penetrations,
,,zone 1,,level 58,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 58,floor/wall penetrations
,,pour 2,,level 58,floor/wall penetrations,pour 2
,,lobby,,level 58,lobby,floor/wall penetrations
,,Level 59,grouping,level 59,floor/wall penetrations,
,,zone 1,,level 59,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 59,floor/wall penetrations
,,pour 2,,level 59,floor/wall penetrations,pour 2
,,lobby,,level 59,lobby,floor/wall penetrations
,,Level 60,grouping,level 60,floor/wall penetrations,
,,zone 1,,zone 1,level 60,floor/wall penetrations
,,pour 1,,pour 1,level 60,floor/wall penetrations
,,pour 2,,level 60,floor/wall penetrations,pour 2
,,lobby,,lobby,level 60,floor/wall penetrations
,,Level 61,grouping,level 61,floor/wall penetrations,
,,zone 1,,level 61,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 61,floor/wall penetrations
,,pour 2,,level 61,floor/wall penetrations,pour 2
,,lobby,,level 61,lobby,floor/wall penetrations
,,Level 62,grouping,level 62,floor/wall penetrations,
,,zone 1,,level 62,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 62,floor/wall penetrations
,,pour 2,,level 62,floor/wall penetrations,pour 2
,,lobby,,level 62,lobby,floor/wall penetrations
,,Level 63,grouping,level 63,floor/wall penetrations,
,,zone 1,,level 63,zone 1,floor/wall penetrations
,,pour 1,,level 63,pour 1,floor/wall penetrations
,,pour 2,,level 63,floor/wall penetrations,pour 2
,,lobby,,level 63,lobby,floor/wall penetrations
,,Level 64,grouping,floor/wall penetrations,level 64,
,,zone 1,,zone 1,floor/wall penetrations,level 64
,,pour 1,,pour 1,floor/wall penetrations,level 64
,,pour 2,,floor/wall penetrations,level 64,pour 2
,,lobby,,lobby,floor/wall penetrations,level 64
,,Level 65,grouping,level 65,floor/wall penetrations,
,,zone 1,,level 65,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 65,floor/wall penetrations
,,pour 2,,level 65,floor/wall penetrations,pour 2
,,lobby,,level 65,lobby,floor/wall penetrations
,Columns,,,,,
,,Fire Collars Floor/Wall Penetrations checked off as below,,fire collars floor/wall penetrations checked off as below,,
,,Installer is a Registered Plumber (VIC) with endorsements for this work,Installer is a Registered Plumber (VIC) with endorsements for this work,fire collars floor/wall penetrations checked off as below,,
,,Installation complies with current AS3500 & AS5600,Installation complies with current AS3500 & AS5600,fire collars floor/wall penetrations checked off as below,,
,,Installation complies with current drawings & specifications,Installation complies with current drawings & specifications,fire collars floor/wall penetrations checked off as below,,
,,Installation materials were used in accordance with manufacturer requirements,Installation materials were used in accordance with manufacturer requirements,fire collars floor/wall penetrations checked off as below,,
,,Check for damage,Check for damage,fire collars floor/wall penetrations checked off as below,,
,,Confirm all collars and sleeves are capped & sealed,Confirm all collars and sleeves are capped & sealed,fire collars floor/wall penetrations checked off as below,,
,,Check floor fire collars types & sizes are correct,Check floor fire collars types & sizes are correct,fire collars floor/wall penetrations checked off as below,,
,,Check wall fire collars types & sizes are correct,Check wall fire collars types & sizes are correct,fire collars floor/wall penetrations checked off as below,,
,,Check metal sleeves installed correctly,Check metal sleeves installed correctly,fire collars floor/wall penetrations checked off as below,,
,,Check cast-in RWO bodies installed correctly,Check cast-in RWO bodies installed correctly,fire collars floor/wall penetrations checked off as below,,
,,Confirm Rise Group will be in attendance during the pour,Confirm Rise Group will be in attendance during the pour,fire collars floor/wall penetrations checked off as below,,
,,Final sign-off - Supervisor has cleared test as successful,,final sign-off - supervisor has cleared test as successful,,
,,Confirm area has been left clean,Confirm area has been left clean,final sign-off - supervisor has cleared test as successful,,
,,,,,,
Aspire Tower (Hickory) - Gravity Hydraulics (Mains),,,,,,
,Scope,,,,,
,Rows,,,,,
,,Basement 3,,basement 3,zone 1,gravity hydraulics (mains)
,,Basement 2,,basement 2,zone 1,gravity hydraulics (mains)
,,Basement 1,,zone 1,gravity hydraulics (mains),basement 1
,,Ground Level,,ground level,zone 1,gravity hydraulics (mains)
,,Mezzanine Level,,mezzanine level,zone 1,gravity hydraulics (mains)
,,Level 1,,level 1,zone 1,gravity hydraulics (mains)
,,Level 2,,level 2,zone 1,gravity hydraulics (mains)
,,Level 3,,zone 1,gravity hydraulics (mains),level 3
,,Level 4,,level 4,zone 1,gravity hydraulics (mains)
,,Level 5,,level 5,zone 1,gravity hydraulics (mains)
,,Level 6,,level 6,zone 1,gravity hydraulics (mains)
,,Level 7,,level 7,zone 1,gravity hydraulics (mains)
,,Level 8,,level 8,zone 1,gravity hydraulics (mains)
,,Level 9,,level 9,zone 1,gravity hydraulics (mains)
,,Level 10,,level 10,zone 1,gravity hydraulics (mains)
,,Level 11,,level 11,zone 1,gravity hydraulics (mains)
,,Level 12,,level 12,zone 1,gravity hydraulics (mains)
,,Level 13,,zone 1,gravity hydraulics (mains),level 13
,,Level 14,,level 14,zone 1,gravity hydraulics (mains)
,,Level 15,,level 15,zone 1,gravity hydraulics (mains)
,,Level 16,,level 16,zone 1,gravity hydraulics (mains)
,,Level 17,,level 17,zone 1,gravity hydraulics (mains)
,,Level 18,,level 18,zone 1,gravity hydraulics (mains)
,,Level 19,,level 19,zone 1,gravity hydraulics (mains)
,,Level 20,,zone 1,gravity hydraulics (mains),level 20
,,Level 21,,level 21,zone 1,gravity hydraulics (mains)
,,Level 22,,level 22,zone 1,gravity hydraulics (mains)
,,Level 23,,level 23,zone 1,gravity hydraulics (mains)
,,Level 24,,zone 1,gravity hydraulics (mains),level 24
,,Level 25,,level 25,zone 1,gravity hydraulics (mains)
,,Level 26,,level 26,zone 1,gravity hydraulics (mains)
,,Level 27,,level 27,zone 1,gravity hydraulics (mains)
,,Level 28,,level 28,zone 1,gravity hydraulics (mains)
,,Level 29,,level 29,zone 1,gravity hydraulics (mains)
,,Level 30,,level 30,zone 1,gravity hydraulics (mains)
,,Level 31,,zone 1,gravity hydraulics (mains),level 31
,,Level 32,,level 32,zone 1,gravity hydraulics (mains)
,,Level 33,,level 33,zone 1,gravity hydraulics (mains)
,,Level 34,,level 34,zone 1,gravity hydraulics (mains)
