"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba2eb11d-b416-4b83-82fb-5fd1b2412657","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","8 - Gridline B-C – Low Voltage 10 x 150."
"e0f98c44-56a3-4277-b177-882890ccb57e","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","9 - Gridline B-C – Low Voltage 7 x 150 + 2 x 50."
"a007376c-69c1-4c10-ab97-87eb735d3afb","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","17 - Gridline E-F – Low Voltage 13 x 100 + 2 x 50."
"69e251b1-181b-4993-8e9a-19951616bff0","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","19 - Gridline F-G – High Voltage 11 x 150."
"2c0f74b5-65f5-43d3-989a-1134b09250d9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","20 - Gridline F-G – Comms 1 x 150."
"bc9a8c76-f9f7-4438-ae16-ab26c3c19bcf","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","37 - Gridline G – Low Voltage 6 x 150."
"f6599af7-d29b-4b13-a4d9-6fb8bd1f2d58","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","41 - Gridline H-I – Comms 4 x 100."
"f3c7bbab-45ea-42a4-b8d0-fc4821af0167","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","51 - Gridline H-I – Comms 4 x 100."
"f5fb2d00-10c9-45a4-a372-8808166d6a78","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","53 - Gridline H – Low Voltage 1 x 100."
"0d8c5b0e-295e-456a-8d58-5fbc2b52e1d9","","not-started","","folder","TRUE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET"
"6a733ac1-9c87-4c71-aaf5-4f53c4ca9922","","not-started","","folder","TRUE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00"
"bbbb0616-3702-4edf-923e-8c2264f1fe63","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 01"
