"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"Inspected Quantity","Inspected Quantity","coasters","kitchen"
,,"Toaster (stainless steel)",,"toaster (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","toaster (stainless steel)","kitchen"
,,"Jug cordless, auto electric (stainless steel)",,"kitchen","jug cordless, auto electric (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","jug cordless, auto electric (stainless steel)"
,,"Chopping board (plastic or wood)",,"kitchen","chopping board (plastic or wood)"
,,"Inspected Quantity","Inspected Quantity","kitchen","chopping board (plastic or wood)"
,,"Salad bowl",,"salad bowl","kitchen"
,,"Inspected Quantity","Inspected Quantity","salad bowl","kitchen"
,,"Cleaning items",,"cleaning items","kitchen"
,,"Inspected Quantity","Inspected Quantity","cleaning items","kitchen"
,,"Dish drainer 45 x 35 x 14cm (chrome)",,"kitchen","dish drainer 45 x 35 x 14cm (chrome)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dish drainer 45 x 35 x 14cm (chrome)"
,,"Plastic dish brush with scraper",,"plastic dish brush with scraper","kitchen"
,,"Inspected Quantity","Inspected Quantity","plastic dish brush with scraper","kitchen"
,,"Brush & shovel",,"brush & shovel","kitchen"
,,"Inspected Quantity","Inspected Quantity","brush & shovel","kitchen"
,,"12 litre dual compartment bin (chrome or black)",,"kitchen","12 litre dual compartment bin (chrome or black)"
,,"Inspected Quantity","Inspected Quantity","kitchen","12 litre dual compartment bin (chrome or black)"
,,"Hot plate 2 burner (ceramic)",,"kitchen","hot plate 2 burner (ceramic)"
,,"Inspected Quantity","Inspected Quantity","kitchen","hot plate 2 burner (ceramic)"
,,"Oven-F&P (ceramic)",,"kitchen","oven-f&p (ceramic)"
,,"Inspected Quantity","Inspected Quantity","kitchen","oven-f&p (ceramic)"
,,"Rangehood extractor (60cm slide out or power pack, stainless steel)",,"kitchen","rangehood extractor (60cm slide out or power pack, stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","rangehood extractor (60cm slide out or power pack, stainless steel)"
,,"Nespresso compatible coffee machine",,"kitchen","nespresso compatible coffee machine"
,,"Inspected Quantity","Inspected Quantity","kitchen","nespresso compatible coffee machine"
,,"Microwave Minimum 23ltr (stainless steel)",,"kitchen","microwave minimum 23ltr (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","microwave minimum 23ltr (stainless steel)"
,,"Dishwasher (stainless steel)",,"kitchen","dishwasher (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dishwasher (stainless steel)"
,,"Frost free fridge (stainless steel). Minimum 100 litre (with Ice box)",,"kitchen","frost free fridge (stainless steel). minimum 100 litre (with ice box)"
,,"Inspected Quantity","Inspected Quantity","kitchen","frost free fridge (stainless steel). minimum 100 litre (with ice box)"
,,"Ice cube tray",,"kitchen","ice cube tray"
,,"Inspected Quantity","Inspected Quantity","kitchen","ice cube tray"
,,"Sink insert (stainless steel)",,"kitchen","sink insert (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","sink insert (stainless steel)"
,,"Bench top condition",,"kitchen","bench top condition"
,,"Joinery: cabinets - in good working order",,"kitchen","joinery: cabinets - in good working order"
,,"Luggage rack",,"bedroom","luggage rack"
,,"Inspected Quantity","Inspected Quantity","bedroom","luggage rack"
,,"Steam iron",,"bedroom","steam iron"
,,"Inspected Quantity","Inspected Quantity","bedroom","steam iron"
,,"Ironing board",,"ironing board","bedroom"
,,"Inspected Quantity","Inspected Quantity","ironing board","bedroom"
,,"Spare pillow",,"spare pillow","bedroom"
,,"Inspected Quantity","Inspected Quantity","spare pillow","bedroom"
,,"Spare blanket",,"spare blanket","bedroom"
,,"Inspected Quantity","Inspected Quantity","spare blanket","bedroom"
,,"Coat hangers (wooden)",,"coat hangers (wooden)","bedroom"
,,"Inspected Quantity","Inspected Quantity","coat hangers (wooden)","bedroom"
,,"King size bed",,"king size bed","bedroom"
,,"Inspected Quantity","Inspected Quantity","king size bed","bedroom"
,,"Mattress Protection",,"mattress protection","bedroom"
,,"Inspected Quantity","Inspected Quantity","mattress protection","bedroom"
,,"Triple sheeting",,"triple sheeting","bedroom"
,,"Inspected Quantity","Inspected Quantity","triple sheeting","bedroom"
,,"Bed runner",,"bed runner","bedroom"
,,"Inspected Quantity","Inspected Quantity","bed runner","bedroom"
,,"Bed scatter cushions",,"bed scatter cushions","bedroom"
,,"Inspected Quantity","Inspected Quantity","bed scatter cushions","bedroom"
,,"Headboards",,"headboards","bedroom"
,,"Inspected Quantity","Inspected Quantity","headboards","bedroom"
,,"Digital clock radio with Bluetooth capability",,"digital clock radio with bluetooth capability","bedroom"
