type,name,values,prefix,postfix,usage count,user addable,template name
checkpoint,AMP draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,FAN Commissioning Checklist,,,,,,FAN Commissioning Checklist
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,Local switch tested,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,FAN PBO Commissioning Checklist,,,,,,FAN PBO Commissioning Checklist
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,Local switch tested,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,SEF VSD FAN Commissioning Checklist,,,,,,SEF VSD FAN Commissioning Checklist
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,Start relay tested,,,,,,
checkpoint,Firemans Start tested,,,,,,
checkpoint,Firemans Stop tested,,,,,,
checkpoint,Run Proof tested,,,,,,
checkpoint,Fault Tested,,,,,,
checkpoint,Speed tested,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Fire label and padlock installed,,,,,,
,,,,,,,
checklist-flat,BMS AI Commissioning Checklist,,,,,,BMS AI Commissioning Checklist
checkpoint,Sensor reading,,,,,,
checkpoint,Sensor verified,,,,,,
checkpoint,Value,,,,,,
,,,,,,,
checklist-flat,BMS DI Commissioning Checklist,,,,,,BMS DI Commissioning Checklist
checkpoint,Point tested for correct operation and verified,,,,,,
,,,,,,,
checklist-flat,BMS HLI Commissioning Checklist,,,,,,BMS HLI Commissioning Checklist
checkpoint,Equipment online and communitcated correctly,,,,,,
,,,,,,,
checklist-flat,BMS AO Commissioning Checklist,,,,,,BMS AO Commissioning Checklist
checkpoint,Point tested for correct operation of equipment,,,,,,
,,,,,,,
checklist-flat,BMS DO Commissioning Checklist,,,,,,BMS DO Commissioning Checklist
checkpoint,Point tested for correct operation,,,,,,
