"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"Specifications & Safety",,"specifications & safety"
,,"Current manufacturer's product Specification and materials confirmed (RLA, Sika)",,"current manufacturer's product specification and materials confirmed (rla, sika)"
,,"Verification of Preceding Works",,"verification of preceding works"
,,"Confirm substrate is clean and empty from any coating, sharp edges, rough concrete, oils, grease, etc",,"confirm substrate is clean and empty from any coating, sharp edges, rough concrete, oils, grease, spray marks and any other materials that will impact adhesion"
,,"Confirm base substrate is dry, clean, and smooth surfaces for application of membrane.",,"confirm base substrate is dry, clean, and smooth surfaces for application of membrane. moisture content to meet the manufacturer’s recommendation and the material data sheet."
,,"Confirm substrate details are as per drawing and specifications.",,"confirm substrate details are as per drawing and specifications. i.e., falls to drains, flashing rebates, hobs, angles have been constructed properly to enable membrane systems to work as per manufacturer's specifications."
,,"Hobs",,"hobs"
,,"Confirm substrate is clean and empty from any coating, sharp edges, rough concrete, oils, grease, spray marks etc.",,"confirm substrate is clean and empty from any coating, sharp edges, rough concrete, oils, grease, spray marks and any other materials that will impact adhesion"
,,"Confirm base substrate is dry, clean, and smooth surfaces for application of membrane.",,"confirm base substrate is dry, clean, and smooth surfaces for application of membrane. moisture content to meet the manufacturer’s recommendation and the material data sheet."
,,"Confirm substrate details are as per drawing and specifications.",,"confirm substrate details are as per drawing and specifications. i.e., falls to drains, flashing rebates, hobs, angles have been constructed properly to enable membrane systems to work as per manufacturer's specifications."
,,"Checked Moisture content in concrete before waterproofing",,"checked moisture content in concrete before waterproofing"
,,"Confirm application of two-part water-based (Moisture Seal Primer) to the floors.",,"confirm application of two-part water-based (moisture seal primer) to the floors."
,,"Confirm application of 1st coat of RLA PU850 (oil base) to the floors",,"confirm application of 1st coat of rla pu850 (oil base) to the floors"
,,"Confirm application of 2nd coat of RLA PU850 (oil base) to the floors",,"confirm application of 2nd coat of rla pu850 (oil base) to the floors"
,,"Membrane application as per manufacturer specifications and Australian Standards",,"membrane application as per manufacturer specifications and australian standards"
,,"Confirm membrane thickness is minimum 1000 microns",,"confirm membrane thickness is minimum 1000 microns"
,,"Bathrooms & Laundries",,"bathrooms & laundries"
,,"Confirm all joints are cleaned and sealed with coving/fillet between floor and wall junctions. Joints widths for sealing no more than 5mm",,"confirm all joints are cleaned and sealed with coving/fillet between floor and wall junctions. joints widths for sealing no more than 5mm"
,,"Checked Moisture content in concrete before waterproofing",,"checked moisture content in concrete before waterproofing"
,,"Water stops (3mm) supply/install laser square as specified",,"water stops (3mm) supply/install laser square as specified"
,,"Confirm application of two-part water-based (Moisture Seal Primer) to the floors.",,"confirm application of two-part water-based (moisture seal primer) to the floors."
,,"Confirm application of primer (Uniprime) to the walls.",,"confirm application of primer (uniprime) to the walls."
,,"Confirm application of 1st coat & 2nd coat of RLA PU850 (oil base) to the floors",,"confirm application of 1st coat & 2nd coat of rla pu850 (oil base) to the floors"
,,"Confirm application of 1st coat & 2nd coat of RLA WPM (water base) to the walls.",,"confirm application of 1st coat & 2nd coat of rla wpm (water base) to the walls."
,,"Flood tested for 24 hours",,"flood tested for 24 hours"
,,"Membrane application as per manufacturer specifications and Australian Standards",,"membrane application as per manufacturer specifications and australian standards"
,,"Balconies",,"balconies"
,,"Confirm all joints are cleaned and sealed with coving/fillet between floor and wall junctions. Joints widths for sealing no more than 5mm",,"confirm all joints are cleaned and sealed with coving/fillet between floor and wall junctions. joints widths for sealing no more than 5mm"
