"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"c91e6864-71cc-42a8-93e1-5cecd98e910c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C03"
"a6a4acd4-1c30-4a98-adb9-088447ff7192","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C04"
"f63aa736-f040-49b8-85b2-51ce894f3d94","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C05"
"a9d36c4e-e4e3-4b6f-a1b2-a8803a326fb4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C06"
"12c493e2-75ad-4e7a-adfb-03c077ae9404","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C07"
"f6b56465-5fb0-4da7-8a0d-45f665c65f27","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C08"
"e2f31a06-317e-45fb-87c9-5908169c64e4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C09"
"c9eccc91-0dae-4dd2-8298-80f48d67a9c1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C10"
"63c84875-665a-4ece-b6ed-30b0fe23dba8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C11"
"67900b8d-6993-4211-b720-3ff4fc5d9c48","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C12"
