"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"345347ba-47cd-5cf6-9c5b-a53805ebad4f","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D003.06","Site Glazing Completed"
"7371ee29-f04d-5d8e-9f23-6a0fbc9ef425","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D003.06","Trade clean/protected"
"1e1eac12-ba27-5b22-a9fa-9a1e08d18106","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 1"
"02e08897-a40a-5a9a-a522-ce79786f4ada","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Level 1","D102.06"
"722818b8-0488-43ec-9d98-0e248a74e990","","checkpoint-status","not-started","","","TRUE","TRUE","Level 1","D102.06","Opening and sill acceptable. All elements approved as per drawings"
"8ebe9a43-d74d-548d-b790-93b024f46835","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Level 1","D102.06","Opening wrapped & prepared correctly by others"
"f02da591-58fe-50fa-8d0b-e39355522d87","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Level 1","D102.06","External flashings installed as per shop drawings"
"569269be-77e6-5a0c-9965-813054dfbd41","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Level 1","D102.06","Installed / Fixed As Per Shop Drawings"
"dcb27c51-7da6-5748-9f15-86276e486c6f","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Level 1","D102.06","Airseals Completed (photo)"
"0a266eda-c36b-5856-83b6-bf5ba05b046b","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Level 1","D102.06","Site Glazing Completed"
"665ce37e-dcb8-5b26-a381-0c5c79d96b7a","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Level 1","D102.06","Trade clean/protected"
"9794f3a1-27e8-51d0-a206-d68c6a9d6e26","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Level 1","W102.01"
"268ab1f4-c3f1-47ea-8df6-8e245a792385","","checkpoint-status","not-started","","","TRUE","TRUE","Level 1","W102.01","Opening and sill acceptable. All elements approved as per drawings"
