"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0df51446-ccbe-4182-b500-5a074ef3046e","","folder-normal","fail","","step","TRUE","FALSE","B02"
"bd0b6218-0573-4f37-b365-3c1d25a28f67","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement"
"c2538887-a5d3-413f-bb3d-5b5a0e6927f1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A"
"d7ecfdf3-b1ea-4e3e-8934-884aa91544e2","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A","STAIR 3"
"0a7fda35-6f13-4a3a-b783-9391c7dfe262","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 176","Rough In (Cavity Pockets & PMJ)"
"89f127f9-0882-4d07-8594-50dae3a159b7","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 176","Fit Off"
"36325349-521a-4c12-b2d6-df00269d4ca6","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 176","Installation"
"649a18bf-b9ae-46f8-8fc7-7be06be76758","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 176","Handover"
"f94ab6d3-3187-4dbe-8996-7850a408a4f7","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 177"
"2e0c4078-ea0a-4db2-88f2-4267da609140","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 177","Rough In (Cavity Pockets & PMJ)"
"4d5feb48-3510-48b4-bfa9-b510aa02c636","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 177","Fit Off"
"2d14a279-72b7-4590-b27e-3ab79d9adb61","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 177","Installation"
"e548fec4-8a2d-4a04-9345-7cf2161fc4bc","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 177","Handover"
"0b3068af-0f20-45b1-9e8b-8eade1c5413c","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 178"
"a978c7c0-80dd-44b4-87a9-1262139e1913","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 178","Rough In (Cavity Pockets & PMJ)"
"fe1f6d6e-14b5-4c47-8976-878c1b2c6b40","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 178","Fit Off"
"163b7ab3-405f-4d4a-b029-8f2770baf8fe","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 178","Installation"
"80f15e29-ae14-4e9c-95b2-cee3c4b7cca5","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 178","Handover"
"f5ba5360-5033-4f0f-9d3e-8ebc6aa7d047","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 179"
"b6f02a21-5b3c-44c0-bbe8-46d4a63e2050","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 179","Rough In (Cavity Pockets & PMJ)"
"9957a816-37ae-4bb8-a9de-8717758bc646","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 179","Fit Off"
"5f8d1db6-debf-48d5-8322-db7ab7b89e39","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 179","Installation"
"19c05ce2-3984-4e92-bc08-1de51896fefe","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 1","AREA C - APARTMENTS","APT 179","Handover"
"9a304f6f-425a-47cd-86ac-76e2c905f337","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02","Level 1","COMMON AREA"
"f1f96d36-c07e-4eb2-8a04-9b35a6ff57e0","","checklist-flat","work-in-progress","Common Area Checklist","checklist-flat","FALSE","FALSE","B02","Level 1","COMMON AREA","CORRIDOR"
"546e9e03-e02e-4666-bedc-489d8b4d251c","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02","Level 1","COMMON AREA","SERVICE CUPBOARD"
"b265bbc5-f419-470e-896b-5a83d0f81e45","","checklist-flat","not-applicable","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Level 1","COMMON AREA","SERVICE CUPBOARD","Rough In (PMJ Only)"
"d7c8fd0e-64d8-4951-952e-cda8bd0183ec","","checklist-flat","work-in-progress","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 1","COMMON AREA","SERVICE CUPBOARD","Fit Off"
"c6ad3340-930d-4d3a-bf77-a22a08576cd7","","checklist-flat","work-in-progress","Installation","checklist-flat","FALSE","FALSE","B02","Level 1","COMMON AREA","SERVICE CUPBOARD","Installation"
"a8b0f78c-b472-428e-884a-eb96981eeeb6","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 1","COMMON AREA","SERVICE CUPBOARD","Handover"
"85b9a315-c1bf-410a-b625-1d839fef82cd","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2"
"57830179-2b5b-4901-90df-adc59e515078","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS"
"13b3c3b8-c142-4a4d-95f1-200e4e5fa934","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 271"
"f705a49d-a330-4caa-a763-281c986be2fa","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 271","Fit Off"
"a6515f4b-4e84-497d-aac8-3322b41f32bb","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 271","Rough In (Cavity Pockets & PMJ)"
"723751d5-956c-4420-b2a8-55218047e06b","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 271","Installation"
"a19d0281-393a-4f43-99d1-17b26662a5bc","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 271","Handover"
"113ea9ec-ccfe-49ca-a7b1-274109420ab7","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 272"
"64a47a68-92d6-469e-962b-6a04a06cd008","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 272","Rough In (Cavity Pockets & PMJ)"
"bea3b0b1-5233-486b-8868-c70b97f86c3c","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 272","Fit Off"
"6c6818f7-184a-4141-87ca-b5e01bf1bdc4","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 272","Installation"
"00190538-fe9f-44d3-a427-ee47f4175edd","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 272","Handover"
"fe2af11c-f091-4950-8823-39f39f37ad1e","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 273"
"2693376f-488b-452a-9217-43d87ff3bca4","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 273","Rough In (Cavity Pockets & PMJ)"
"ec3ef934-ad5e-44c4-9cfd-9dbe98a53019","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 273","Fit Off"
"d213834f-753f-48ae-af77-a9e9a7acb30d","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 273","Installation"
"35c4c285-62b7-4748-a9a8-7a49e1fc73c3","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 273","Handover"
"e947d330-3d20-471d-9c43-f8090ffa89ae","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 274"
"fae05773-b4a2-4097-9352-c564cd4d1698","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 274","Rough In (Cavity Pockets & PMJ)"
"c18af68c-87e7-4aad-aa16-93ea63f2c2a0","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 274","Fit Off"
"d15b48fc-9c71-4aee-8a27-5cc26d690f7e","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 274","Installation"
"00dccc04-d003-4e87-a3aa-b516699a2370","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 274","Handover"
"1ecefb14-fc36-4d79-b58f-908f7e04aae8","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 275"
"c4e594fc-5a00-4b9d-bb07-668d0b39d801","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 275","Rough In (Cavity Pockets & PMJ)"
"09b0b3e7-18e3-4c7c-b923-8ae1a4648ca6","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 275","Fit Off"
"02438e35-9866-492f-b6e5-b6c4e29386f6","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 275","Installation"
"24a5ead0-ccc4-4d0b-9b5c-03a4df8cbf3b","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 275","Handover"
"9a8d2f37-affc-4795-93e1-c3d0703cf63d","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 276"
"3a9ae189-00ce-4030-b0a4-b8359299d6c3","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 276","Rough In (Cavity Pockets & PMJ)"
"92429263-0751-4862-b182-ae9eb9b8bb65","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 276","Fit Off"
"08625304-ef28-47aa-860a-9c9f1e38b534","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 276","Installation"
"09f64ff1-68eb-40f0-94f1-9dfcebb6a28f","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 276","Handover"
"4e799e0e-0e38-4437-a108-a8db09498980","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 277"
"8f41e948-31db-4bf6-b14d-37e8bf81ce33","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 277","Rough In (Cavity Pockets & PMJ)"
"f2fa2574-cc90-49ea-93a7-6249f9fa2cec","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 277","Fit Off"
"74b91755-40fe-4f6d-85dc-bbf532077b23","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 277","Installation"
"d5aa0636-3a4e-4ba1-b068-ea57b3907aee","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 277","Handover"
"fc99d6f8-6909-4bcf-9ba5-93ff18b61b9f","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 278"
"55fc7492-d6aa-4c4c-a0d5-833daf11a1f4","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 278","Rough In (Cavity Pockets & PMJ)"
"836ac95c-1e69-4b36-82f0-70816eaaae8d","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 278","Fit Off"
"2ad983ec-c6be-4017-ab84-ceceab425394","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 278","Installation"
"fea4ab8b-1705-4ce0-a757-29be22d323a0","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 278","Handover"
"7812b39a-bd73-4a27-9f47-0e58806b407b","","folder-normal","fail","","step","TRUE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 279"
"5111d2d0-de06-4f90-87c3-fb23a3c3968e","","checklist-flat","pass","Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 279","Rough In (Cavity Pockets & PMJ)"
"673ac7d9-1d04-490b-941e-2c7a516bea1a","","checklist-flat","fail","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 279","Fit Off"
"27011f3a-3f67-4dd1-9a27-a7b839c8af34","","checklist-flat","pass","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 279","Installation"
"98028254-952b-4531-830c-4f7d09160bb9","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","AREA C - APARTMENTS","APT 279","Handover"
"a6538699-4d06-4b28-99d9-0d3dc7e5f627","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02","Level 2","COMMON AREA"
"6cd8c5d1-aa21-4ff7-a3a5-5b147056f939","","checklist-flat","work-in-progress","Common Area Checklist","checklist-flat","FALSE","FALSE","B02","Level 2","COMMON AREA","CORRIDOR"
"a0d1a2ab-aa15-46dd-bffe-f639ef52270c","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02","Level 2","COMMON AREA","SERVICE CUPBOARD"
"b1f35d9b-5ae2-4f1f-87ac-02066bf5d55d","","checklist-flat","not-applicable","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Level 2","COMMON AREA","SERVICE CUPBOARD","Rough In (PMJ Only)"
"d48a9f93-de56-44a6-8f0b-f7ef35236997","","checklist-flat","work-in-progress","Fit Off","checklist-flat","FALSE","FALSE","B02","Level 2","COMMON AREA","SERVICE CUPBOARD","Fit Off"
"c420d66d-6988-4e6e-ba1b-b2b686dea5fa","","checklist-flat","work-in-progress","Installation","checklist-flat","FALSE","FALSE","B02","Level 2","COMMON AREA","SERVICE CUPBOARD","Installation"
"88ade3b5-34a4-4c85-8886-7ee99716c690","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Level 2","COMMON AREA","SERVICE CUPBOARD","Handover"
