Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,
43e6a9ba-0534-4929-ae30-99d569bf80f1,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,323,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
d638fb0f-293d-45e9-9f6b-d4d99eada04a,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,324,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
179956e8-fbab-4425-b7c9-150af48416c3,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,301,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
a86db7e9-b7f4-48d2-9c28-05b154e265bf,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,302,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
ea1efe32-101a-4e0d-9691-adba3bb07c53,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,303,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
241ce092-943c-4dd3-9526-c82c0689b364,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,304,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
f086e395-1ccc-43fd-b613-eb7e5868e33b,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,305,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
effe6fb0-aa56-4f3c-b86b-06878dee0f7b,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,306,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c81f2926-9464-4385-b2f5-857e542eea5a,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,307,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
bf3f9fe8-0ac0-44fc-b489-cb73acf30229,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,325,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
b7116fb5-cba0-4acd-94ec-72510313e062,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,326,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
e8e263c7-e2f9-4b18-bd27-5f048bc37f8f,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,327,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
b7bd3ac4-51c9-4ef3-afd2-a3218952d49e,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,328,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
60c1214b-9246-465e-a9b9-99dd92b83435,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,329,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
ae21b469-a380-498e-bccf-dcaa35a20b39,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,330,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8408bee7-05c3-406d-99a1-c0a7d4d0a318,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,331,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c4b9a7a2-8782-4485-8011-52ae9f788042,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,332,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4f011f3e-976e-4f1a-87ae-c80911c9d568,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,333,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
cd3cacdc-9819-4b7f-85d9-91f09efab9fa,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,334,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
7c86ac95-ede3-4d2c-8f2d-c7af70d8e663,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,335,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
58937d42-8c7d-4669-9eea-0bd8b2ab5475,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 3,336,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
