"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26b79dca-2bb7-49fa-9ec8-ccb942f4c6d1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-19 BN02-W and BN14-W","Byford U-Beam Stage-1 Casting BN02-W"
"086fe57b-e8f3-457c-be7f-1b828111f0ad","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-19 BN02-W and BN14-W","Byford U-Beam Stage-2 Casting Checklist BN02-W"
"e9ba5f8e-d63d-4828-944e-f377789369a1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-19 BN02-W and BN14-W","Byford U-Beam Stage-1 Casting BN14-W"
"04331f1c-a96c-4058-a39c-88a3c376b360","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-19 BN02-W and BN14-W","Byford U-Beam Stage-2 Casting Checklist BN14-W"
"a9fbb1a1-00b0-4625-976b-2a3fb9ef307a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-20 BN45-E and BN05-W"
"53aec73d-cf62-413a-b522-eae77c561673","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-20 BN45-E and BN05-W","Byford U-Beam Stage-1 Casting BN45-E"
"f04cdca3-845b-42ee-abc1-124d980b0f20","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-20 BN45-E and BN05-W","Byford U-Beam Stage-2 Casting Checklist BN45-E"
"003303cb-2861-4af3-aea6-dc28d8383efa","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-20 BN45-E and BN05-W","Byford U-Beam Stage-1 Casting BN05-W"
"fe1c4f37-939f-43aa-a011-db4f08b03ab7","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-20 BN45-E and BN05-W","Byford U-Beam Stage-2 Casting Checklist BN05-W"
"3159a7e8-cc71-4bcc-98cf-4ea504c8d0b7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-21 BN32-E and BN35-E"
"e08d0610-f999-451d-a372-7e7dc5dc9ed7","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-21 BN32-E and BN35-E","Byford U-Beam Stage-1 Casting BN32-E"
"68b40924-643e-4423-a489-2af9bf659272","","pass","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-21 BN32-E and BN35-E","Byford U-Beam Stage-2 Casting Checklist BN32-E"
"a9c94614-b52c-4b09-8575-2db3d3a0aa09","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-21 BN32-E and BN35-E","Byford U-Beam Stage-1 Casting BN35-E"
"4596139a-09b1-49f5-ac94-a6e1a33afb9a","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-21 BN32-E and BN35-E","Byford U-Beam Stage-2 Casting Checklist BN35-E"
"6fcc4ff7-3cf1-40db-a8a7-e49fdba44612","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-22 BN03-W and BN08-W"
"184b3985-d2cc-40a9-800b-8da564bf408d","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-22 BN03-W and BN08-W","Byford U-Beam Stage-1 Casting BN03-W"
"3680f08b-1f6e-4868-99ef-74423efa9d1e","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-22 BN03-W and BN08-W","Byford U-Beam Stage-2 Casting Checklist BN03-W"
"92f312ab-2923-4819-986b-dd6e44bcc62b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-22 BN03-W and BN08-W","Byford U-Beam Stage-1 Casting BN08-W"
"866f9239-b3e4-478e-b627-a106a456c7dc","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-22 BN03-W and BN08-W","Byford U-Beam Stage-2 Casting Checklist BN08-W"
"9c93ab01-24a3-44f7-8213-34d70128be1a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-23 BN11-W and BN44-W"
