Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
647b2b81-b9c7-459d-80ab-9257175bb5e1,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-004),,,,,
ecfe18ba-97ff-42b7-b24b-9281ece4d1a0,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-005),,,,,
aac3d48a-5420-40db-8ebd-6d8ad64cd1e4,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-006),,,,,
72b0efcc-cdfd-4007-b88c-e45bb539c6f4,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-007),,,,,
4afbe78f-6d1d-48cb-859a-d75e9d1ffaa5,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-008),,,,,
42674853-ab3c-4c9a-9c21-262bfb76836e,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,CRAC Units,CRL-ITR-010 - Crack Unit Installation (AOT-WEL2-ASS-CCU-001),,,,,
fa25ddd2-2e3c-4ba8-8721-954a2aca2c4a,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,CRAC Units,CRL-ITR-010 - Crack Unit Installation (AOT-WEL2-ASS-CCU-002),,,,,
8321e62a-3b49-4c3b-acac-92916f5ce2a5,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 130511 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL1-ASS-FCU-001),,,,,
0de0c21f-05fb-4dd8-b2ab-1facac652d88,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 130511 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL1-ASS-FCU-002),,,,,
ab3861a7-6e98-4d44-9c95-65f4d474829a,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
