"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status",,"","checkpoint","Delap photos"
"checkpoint-status",,"","checkpoint","Clean roof"
"checkpoint-status",,"","checkpoint","Remove existing cap flashings"
"checkpoint-status",,"","checkpoint","Install screws to substrate"
"checkpoint-status",,"","checkpoint","Install Trough Infill PIR"
"checkpoint-status",,"","checkpoint","New Vapour Barrier"
"checkpoint-status",,"","checkpoint","New 80mm PIR"
"checkpoint-status",,"","checkpoint","Taper PIR closest to spouting"
"checkpoint-status",,"","checkpoint","New Aluminium Drip Edge"
"checkpoint-status",,"","checkpoint","New Fibretite Membrane"
"checkpoint-status",,"","checkpoint","Penetration through roof"
"checkpoint-status",,"","checkpoint","New Fascias"
"checkpoint-status",,"","checkpoint","Install Pressure Bars"
"checkpoint-status",,"","checkpoint","New Gutters and Down Pipes"

"checklist-flat",,"","checklist","Stage 3 - Library Exterior - East & West","",,,2,"Yes","Stage 3 - Library Exterior - East & West","f34118cd-bc20-4538-a04e-3cb8d7410a2b"
"checkpoint-status",,"","checkpoint","Remove Asbestos Soffit"
"checkpoint-status",,"","checkpoint","Remove 3 Windows"
"checkpoint-status",,"","checkpoint","Lap new Building Paper"
"checkpoint-status",,"","checkpoint","Install new Weatherboards"
"checkpoint-status",,"","checkpoint","Install Scribers"
"checkpoint-status",,"","checkpoint","Install H3.2 Soffit Blocking"
"checkpoint-status",,"","checkpoint","Install Soffit Flashing"
"checkpoint-status",,"","checkpoint","Install Soffits"
"checkpoint-status",,"","checkpoint","Paint Weatherboard"
"checkpoint-status",,"","checkpoint","Paint Soffits"

"checklist-flat",,"","checklist","Windows - AJ001 & AJ002","",,,2,"Yes","Stage 4 - Windows - AJ001 & AJ002","f7950aa6-aa59-41b0-8fa8-571c255e8c58"
"checkpoint-status",,"","checkpoint","Remove Windows"
"checkpoint-status",,"","checkpoint","Re frame new opening sizes"
"checkpoint-status",,"","checkpoint","100m SHS"
"checkpoint-status",,"","checkpoint","WANZ Bar"
"checkpoint-status",,"","checkpoint","Flashing Tape"
"checkpoint-status",,"","checkpoint","Cavity Batten"
"checkpoint-status",,"","checkpoint","Window installed"
"checkpoint-status",,"","checkpoint","Window winders"

