"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat","2b057858-122f-427c-8eb5-9937f0d89f98","","checklist","125mm Flushglaze","",,,0,"Yes","125mm Flushglaze","dc01e8aa-6b7f-43f1-be69-fa6e058bce57"
"checkpoint-status","1c5e7b0e-9be3-4e5e-8fb3-771e82c44390","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","386442b7-547d-4abc-9db7-d26efc66df60","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","875aaa4f-345d-4e9d-8f7a-919536479447","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","1aa995eb-1539-4b4f-b315-70d5776cfdcf","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","9021650c-5618-4b4f-89b9-78ce35450d57","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","82b08068-c257-4cbb-a5dc-dd2d07e62b65","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","0d9378d8-b275-460f-9c8c-8603dc520477","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","de1b5eec-e40d-46ce-b488-e592e3b76e26","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","3b238d25-6237-45a9-924f-7f8d3b0640d7","","checkpoint","Autodoor Unit Installed - Dormakaba"
"checkpoint-status","3c741637-b126-4e88-a5e9-59292890917c","","checkpoint","Autodoor Unit Commisioned - Dormakaba"
"checkpoint-status","b1d462a2-844f-40cf-b31c-56a0aa108b94","","checkpoint","Site Glazing Completed"
"checkpoint-status","244b1626-38e5-48d8-be32-cd59070cc2e0","","checkpoint","Trade Clean"
"checkpoint-status","9a3e792c-37de-44a7-820a-27ad109101e9","","checkpoint","Wights - Sign Off"

"checklist-flat","d13ad491-8bff-4c6d-9a9a-03f908843ada","","checklist","Skylite","",,,0,"Yes","Skylite","e736e3cf-2b0b-4bc1-9353-751fbe21df07"
"checkpoint-status","1e21e547-18f7-4cab-b345-1e51c531aa8f","","checkpoint","Opening Wraped & Prepared Correctly"
"checkpoint-status","554892e7-a92e-45c7-af49-b19a95575851","","checkpoint","Roof frame Installed / Fixed As Per Shop Drawings"
"checkpoint-status","b2379d0f-36d3-423a-ae78-212b4363ee06","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","b2f6bcf7-d2ef-49d2-9765-55540655fcc9","","checkpoint","External Flashings / Weather Sealas ( Provide photo reference)"
"checkpoint-status","4dcbf9ce-5003-40f1-baa9-81d390e06225","","checkpoint","Site Glazing Completed"
"checkpoint-status","de570d16-200b-4368-9b82-24869ccc0587","","checkpoint","Trade Clean"
"checkpoint-status","fc02bdc0-c182-46a8-8d9f-0045edce2b52","","checkpoint","Wights - Sign Off"

"checklist-flat","1dc85005-4694-40ec-90ea-290ef24ed3af","","checklist","Seismic Suite (Curtain Wall)","",,,0,"Yes","Seismic Suite (Curtain Wall)","e7534d4b-a7d9-4a85-be8a-db042bc40d93"
"checkpoint-status","a1146848-5623-43d6-a808-80b8c7e2b42c","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","5c46581e-cea6-4490-9022-4710b3392a48","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","2f28cb5d-dba0-44a0-9542-54bb7e1b1953","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","8c39f988-0080-48ae-893c-d8132caa306e","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","57666f7b-e256-45c4-adfb-8676abded7a4","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","ac43a7d0-4b7e-4ad7-a8b1-13cb7a8109d8","","checkpoint","Splicers, Soakers, Gussets & Fixings Sealed (provide photo reference)"
"checkpoint-status","5c16140d-e687-41e5-855c-67e045570dd1","","checkpoint","Airseal and Internal Flashings (photo)"
"checkpoint-status","1b6de8ac-34e6-404d-8bf5-e82c5f4d04c7","","checkpoint","Smoke Seal Complete (photo)"
"checkpoint-status","3dcb1448-0a45-40a0-8626-b736dd0c5095","","checkpoint","External Flashings / Weather Seals/Drainage"
"checkpoint-status","2663f16c-295a-4b90-bff6-ac3549c9c4ab","","checkpoint","Glass - Frame Glazed"
"checkpoint-status","ee287722-c1ea-4b45-bb29-6feeb63add34","","checkpoint","Glass - Glazing Rubbered and Complete"
"checkpoint-status","6b4769e1-308d-48d8-939f-4cecf9683d9e","","checkpoint","Trade Clean & Sign Off"
"checkpoint-status","60f7371d-7823-4d60-bbc8-3512701fa434","","checkpoint","Wights - Sign Off"

"checklist-flat","4e8a7586-bc3b-4317-863a-77cd2c693d7f","","checklist","150mm Flushglaze - With Auto Doors","",,,0,"Yes","150mm Flushglaze - With Auto Doors","ebb36220-55ff-495e-b1e4-d9b3bd21e758"
"checkpoint-status","6f5eb1ef-3841-45d3-858f-0e07342e2a26","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","3de06959-9232-455f-bb0c-9911a01b1992","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","363cd0e8-cb3b-4ed3-aea8-f3b655a156fe","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","9f70ce0a-7190-4646-a89b-76e941cedd8f","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","5ceb4da0-4381-427a-9d30-9af18c4432e7","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","65bdee99-02d6-47af-89cf-9b70aef244af","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","5effb036-715a-4036-b671-26e321f22bda","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","5d9fbe31-5fac-43c8-bd1b-f008c5a3fa22","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","9a4835db-a77b-4588-81c9-40df1d411294","","checkpoint","Autodoor Unit Installed - Dormakaba"
"checkpoint-status","05c5c190-2c00-4e27-aa56-79c0835dabe3","","checkpoint","Autodoor Unit Commisioned - Dormakaba"
"checkpoint-status","4e673cd1-45dd-4c55-b527-722a80802f3e","","checkpoint","Site Glazing Completed"
"checkpoint-status","bcea248a-b81a-4373-bfe4-7f19c7d7e8b0","","checkpoint","Trade Clean"
"checkpoint-status","5af89148-1569-4e34-97f8-9f7bffa1747d","","checkpoint","Wights - Sign Off"

"checklist-flat","bce1e185-9ec8-40aa-b81d-03c2db7daa0c","","checklist","40mm Seismic","",,,38,"Yes","40mm Seismic","ef251c30-9a91-4e14-9849-0f8595addcef"
"checkpoint-status","6d1077f8-4e70-46cf-b026-2241483eba42","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","2814870e-7bad-4487-8206-f54bfdeccc30","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","1fc79696-c9b3-4df2-9d7f-852a7e49a43d","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","fd7abbba-d0f7-41c8-afa6-3eb769eb541c","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","24fb2edb-3bcf-46e6-bc8f-59b846c078ac","","checkpoint","C.W Visual Panel Insert Check"
"checkpoint-status","62d60718-defe-4bb0-9140-473667786143","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","bacb4dd2-570b-4d6e-9fde-1a552318a6d4","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","4acfb299-e127-4ba6-8251-c703d95b5c14","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","cd511c76-eb62-423b-91de-9624b185c017","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","48ff0abb-e034-493e-b66e-9d4b26a39632","","checkpoint","Site Glazing Completed"
"checkpoint-status","5d7d3b7b-4829-44ca-a58e-b63be3c8d8c8","","checkpoint","Trade Clean"
"checkpoint-status","1a6a09bc-abc7-446b-87a7-4d8972de634f","","checkpoint","Wights - Sign Off"

