"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"797c31e1-70f4-54a3-820a-5198d9b9a16c","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:93b11d4a-04e4-5cfd-8dab-0a37521cebb5:963aa0be-3122-5fa7-9edb-c9242f2cacf8","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","AUTHORITY HOLDPOINT"
"0bfa3109-2c91-5f5e-b27c-ddca29028c86","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:1c232ad4-ca6f-5352-879b-6dc0de1ab807","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.2.1 - Cut Subgrade Testing - Cohesive Soil Shear Vane"
"3480c73e-5539-52c8-9f8f-448fed3a760c","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:90e0aec2-fe18-571c-ab93-111c98467327","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.2.2 - Cut Subgrade Testing - Cohesive Soil Scala Penetrometer"
"eddd70d1-54ab-54aa-8da2-49b027d8d4cf","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:b5bc1a9e-ce3c-5ab7-9191-e1d4655e8d28","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.3.1 - Cut Subgrade Testing - Granular Soil Scala Penetrometer"
"2581ecea-1922-591f-b668-52c4253f1aa0","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:e30f05d0-ec2c-5e4b-a54a-d592b64bb134","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.4.1 - Release of Hold Point"
"364f12d5-e68f-58ab-a5c6-ee1e406101a6","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:e30f05d0-ec2c-5e4b-a54a-d592b64bb134:b785ceee-e615-5a5f-b0ef-f5834a2e49e4","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","AUTHORITY HOLDPOINT"
"edee4e5b-334c-5dfe-9f92-6cf7c979ca3c","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:839606ac-0bf2-5c84-9972-67e9133f6bc2","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.5.1 - Subgrade Level Confirmation"
"e0c10b17-5b57-5c09-879e-3ac89efde1e5","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:4c2880cb-6b19-5352-afc6-0af4ec16bf79","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.5.2 - Subgrade CBR Testing"
"6f8792cf-a038-5be8-b8e0-c3139c49aef8","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:efd6bce0-9436-5a8a-8e4d-3b3dfcc3122c","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.5.3 - Release of Hold Point"
"104feba3-8733-5516-9df2-3d683f022124","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:efd6bce0-9436-5a8a-8e4d-3b3dfcc3122c:fa6a9276-7859-5e26-9e07-5da5d76a8c15","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","AUTHORITY HOLDPOINT"
