"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c34c9b81-a42d-47d8-814b-8df6941b9457","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA"
"1310be01-9054-4c42-9e87-14df0f9ce28d","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South Zone 6"
"910cc139-30bf-4c24-bd7f-92e46d1ae5a6","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B9-5-S-57"
"ae1daba8-4098-4776-87eb-49f95fad787b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B8-5-S-56"
"9aed3b39-7dea-42b2-b7a6-5a9cf454f01e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B1-7-S-55"
"4b7cca52-a148-4dfa-99b0-c2272c9c6194","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A5-8-S-29"
"05635c4a-949f-4bdd-84e5-1a81f1600df3","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A5-7-S-28"
"622d975a-d9dc-4989-b5ae-3b265ecc181e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A6-6-S-27"
"3da585c4-381c-4c87-9ba1-75237647c07a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A7-6-S-26"
"a1853b51-d123-4c4a-8172-6e2b3aadcb4b","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B1-6-S-54"
"4a2f1452-601d-4eb5-ab55-5b5d89837489","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B8-4-S-53"
"dc9320ac-53fd-4f96-845f-5835fe6f8c4a","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","B9-4-S-52"
"c4418883-92f3-48bc-ada5-2673e95749b5","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A7-5-S-25"
"cafb2597-fd85-4d5e-9d95-76f0aad25ddf","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A6-5-S-24"
"105732d7-f4fa-40fe-a645-2ec86df5859e","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 5","A5-6-S-23"
"5b29c05d-fc0e-4575-96bb-d61fac0ae98a","","folder-normal","pass","","step","TRUE","FALSE","Carpark C - Factory QA","South Zone 6"
"4ed87833-f87b-44a2-a1a7-da40690c9767","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","B9-3-S-51"
"c1985d40-2854-4459-8ebc-53b66189531d","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","A5-5-S-22"
"c67687a0-d544-4959-92ea-572aada78905","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","J4-4-N-201"
"1cb16dde-a1df-4907-b3e4-feb1e16922fa","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","J4-3-N-200"
"f1263a83-17ee-4a0b-9e42-ac4dc6e02df7","","checklist-flat","pass","Factory ITP","checklist-flat","FALSE","FALSE","Carpark C - Factory QA","South Zone 6","E-8-W-294"
