"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b664e0a3-4cc8-4b17-8049-d2cf4a0951a7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.16.O"
"3c4fcf71-ee01-4110-a5ef-e488a3502f86","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.17.O"
"7ecaec96-b107-4b7f-b6e3-7b6b056ccbc7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.18.O"
"a3c78e38-e6b9-4a92-8881-9ae398849ae0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.19.O"
"322f858a-96d0-4d9e-91ec-46783d303bd7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.20.O"
"36917493-162d-4498-8aa5-d0930058e128","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.21.O"
"9e89521f-4d39-45af-9de4-163fe49018ac","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","CW West Tower"
"30cf0fb6-3e07-4068-a5d4-3f750108c543","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","CW West Tower","W.04.16.33"
"7daf727d-ee12-4dff-a19e-65fde05c7fda","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","CW East Tower"
"aec49363-e371-4994-9406-307ffc990271","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","CW East Tower","W.04.08.31"
"67e7364c-f714-49a8-af17-aea530f9061d","","folder-normal","not-started","","step","TRUE","FALSE","Level 05"
"b53155e2-d519-4c9a-9782-94ee5a437fe4","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","West Tower"
"ea49b6c2-35b2-4906-810f-7fd3b414cc4d","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.01.16"
"46e02701-13ec-427e-b530-b36664cf2144","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.02.18"
